"year","title","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","album"
"year","title","can alt","can rock","mex air","uk","us","us mod","album"
"2003","bandages","×","×","-","25","-","19","make up the breakdown"
"2003","no, not now","×","×","-","38","-","-","make up the breakdown"
"2003","talk to me, dance with me","×","×","-","78","-","33","make up the breakdown"
"2005","island of the honest man","×","×","-","-","-","-","elevator"
"2005","goodnight goodnight","×","×","-","36","102","27","elevator"
"2005","middle of nowhere","×","×","-","47","-","23","elevator"
"2005","christmas day in the sun","×","×","-","-","-","-","non-album single"
"2007","give up?","×","-","-","-","-","-","happiness ltd"
"2007","let me in","×","19","-","138","-","-","happiness ltd"
"2007","harmonicas & tambourines","×","44","-","-","-","-","happiness ltd"
"2010","21@12","28","38","-","-","-","-","future breeds"
"2010","goddess on the prairie","13","38","-","-","-","-","future breeds"
"2013","mayor of the city","-","-","-","-","-","-","hot hot heat"
"2016","kid who stays in the picture","14","25","38","-","-","-","hot hot heat"
"2016","pulling levers","43","-","-","-","-","-","hot hot heat"
""-" denotes releases that did not chart. "×" denotes periods where charts did not exist or were not archived",""-" denotes releases that did not chart. "×" denotes periods where charts did not exist or were not archived",""-" denotes releases that did not chart. "×" denotes periods where charts did not exist or were not archived",""-" denotes releases that did not chart. "×" denotes periods where charts did not exist or were not archived",""-" denotes releases that did not chart. "×" denotes periods where charts did not exist or were not archived",""-" denotes releases that did not chart. "×" denotes periods where charts did not exist or were not archived",""-" denotes releases that did not chart. "×" denotes periods where charts did not exist or were not archived",""-" denotes releases that did not chart. "×" denotes periods where charts did not exist or were not archived",""-" denotes releases that did not chart. "×" denotes periods where charts did not exist or were not archived"
