"industry","all occupations","all occupations","s&e occupations","s&e occupations","non-s&e occupations","non-s&e occupations","s&e workforce intensity (%)a","s&e workforce intensity (%)a"
"industry","2004","2012","2004","2012","2004","2012","2004","2012"
"all private industries","37000","45000","68000","83000","35000","43000","3.9","4.4"
"commercial ki services","53000","68000","70000","86000","50000","65000","12.8","15.8"
"business","57000","73000","71000","87000","54000","69000","18.7","21.4"
"finance","48000","62000","66000","83000","47000","60000","4.7","5.4"
"information","49000","64000","70000","84000","46000","60000","11.8","16.6"
"ht manufacturing","56000","70000","79000","95000","48000","61000","25.8","26.4"
"aircraft","56000","71000","77000","96000","49000","62000","25.8","24.4"
"communications","55000","75000","77000","98000","48000","64000","25.2","30.9"
"computers and office machinery","69000","90000","87000","98000","57000","83000","38.5","43.1"
"pharmaceuticals","54000","64000","72000","84000","49000","59000","20","20.4"
"semiconductors","51000","64000","80000","97000","43000","55000","22.1","23.4"
"testing, measuring, and control instruments","56000","71000","79000","94000","48000","62000","27.6","28"
"all other industries","37000","41000","63000","78000","33000","40000","1.9","2.5"
