"club","season","league","league","league","fa cup","fa cup","league cup","league cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"swansea city","2012-13","premier league","37","1","1","0","6","0","-","-","44","1"
"swansea city","2013-14","premier league","34","2","0","0","0","0","7","0","41","2"
"swansea city","total","total","71","3","1","0","6","0","7","0","85","3"
"tottenham hotspur","2014-15","premier league","14","0","2","0","4","0","9","0","29","0"
"tottenham hotspur","2015-16","premier league","17","0","2","0","0","0","8","0","27","0"
"tottenham hotspur","2016-17","premier league","23","1","4","1","2","0","5","0","34","2"
"tottenham hotspur","2017-18","premier league","29","2","3","0","1","0","5","0","38","2"
"tottenham hotspur","2018-19","premier league","24","0","1","0","3","0","7","0","35","0"
"tottenham hotspur","total","total","107","3","12","1","10","0","34","0","163","4"
"career total","career total","career total","179","6","13","1","16","0","41","0","248","7"
