"team","year","competitions","competitions","competitions","competitions","competitions","competitions","competitions","competitions","friendly matches","friendly matches","friendly matches","friendly matches","friendly matches","friendly matches","friendly matches","ref"
"team","year","competition(s)","m","w","d","l","gf","ga","win %","m","w","d","l","gf","ga","win %","ref"
"canada","1998","-","0","0","0","0","0","0","-","0","0","0","0","0","0","-",""
"canada","1999","-","0","0","0","0","0","0","7","3","1","3","6","6","42.86","","none"
"canada","2000","world cup qualifying gold cup","13","5","5","3","9","11","38.46","4","3","1","0","5","1","75.00",""
"canada","2001","confederations cup","3","0","1","2","0","5","0.00","3","1","0","2","2","5","33.33",""
"canada","2002","gold cup","5","2","2","1","5","4","40.00","2","1","0","1","4","4","50.00",""
"canada","2003","gold cup","2","1","0","1","2","1","50.00","4","1","0","3","6","12","25.00",""
"canada","totals","totals","23","8","8","7","16","21","34.78","20","9","2","9","23","28","45.00","-"
"australia","2010","-","0","0","0","0","0","0","-","4","2","1","1","3","4","50.00",""
"australia","2011","world cup qualifying asian cup","11","8","1","2","22","5","72.73","6","4","2","0","12","2","66.67",""
"australia","2012","world cup qualifying","5","2","2","1","8","6","40.00","8","5","1","2","25","7","62.50",""
"australia","2013","world cup qualifying","4","2","2","0","8","3","50.00","6","0","1","5","7","22","0.00",""
"australia","totals","totals","20","12","5","3","38","14","60.00","24","11","5","8","47","35","45.83","-"
"career totals","career totals","career totals","43","20","13","10","54","35","46.51","44","20","7","17","70","63","45.45","-"
