"type of disability","pain-related","flexibility","mobility","mental health-related","dexterity","hearing","seeing","learning","memory","developmental"
"type of disability","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"pain-related","..","64.9","61.3","30.2","30.7","22.1","21.1","17.3","18.9","2.9"
"flexibility","83.7","..","72.4","31.8","37.7","24.6","24.3","19.5","21.6","3.8"
"mobility","82.9","76.0","..","29.7","36.1","24.8","24.6","18.8","21.5","3.4"
"mental health-related","75.3","61.6","54.9","..","34.9","24.6","27.8","38.6","35.9","8.7"
"dexterity","86.1","82.1","75.2","39.5","..","28.7","31.3","25.9","29.7","5.5"
"hearing","67.3","58.5","56.2","30.1","31.3","..","30.2","21.0","26.8","4.5"
"seeing","74.1","66.7","64.0","39.0","39.3","34.9","..","28.0","30.5","6.2"
"learning","74.1","65.2","59.4","66.2","39.7","29.5","34.0","..","53.6","16.7"
"memory","80.2","71.3","67.5","61.6","44.8","37.2","36.9","52.9","..","9.9"
"developmental","49.2","48.3","41.8","57.1","32.2","24.5","28.9","64.2","39.0",".."
