"club","season","league","league","league","cup","cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"belgrano","2008-09","argentine primera division","2","0","0","0","0","0","0","0","2","0"
"belgrano","2008-09","primera b nacional","31","6","0","0","0","0","0","0","31","6"
"belgrano","2009-10","primera b nacional","31","5","0","0","0","0","0","0","31","5"
"belgrano","total","total","64","11","0","0","0","0","0","0","64","11"
"anderlecht","2010-11","belgian pro league","5","1","1","1","0","0","2","0","8","2"
"as eupen","2010-11","belgian pro league","9","4","0","0","0","0","0","0","9","4"
"kortrijk","2011-12","belgian pro league","37","5","7","0","0","0","0","0","44","5"
"kortrijk","2012-13","belgian pro league","28","6","5","2","0","0","0","0","33","8"
"lens","2013-14","ligue 2","32","10","5","1","1","0","0","0","38","11"
"lens","2014-15","ligue 1","31","7","1","0","1","0","0","0","33","7"
"lens","2015-16","ligue 2","28","4","0","0","0","0","0","0","28","4"
"lens","total","total","91","21","6","1","2","0","0","0","99","22"
"lens ii","2013-14","championnat de france amateur","1","0","0","0","0","0","0","0","1","0"
"reims","2016-17","ligue 2","27","7","1","0","1","0","0","0","29","7"
"reims","2017-18","ligue 2","32","12","0","0","2","0","0","0","34","12"
"reims","total","total","59","19","1","0","3","0","0","0","63","19"
"career totals","career totals","career totals","294","67","20","4","5","0","2","0","321","71"
