"place","weightlifter","press","press","press","snatch","snatch","snatch","clean & jerk","clean & jerk","clean & jerk","total"
"place","weightlifter","1","2","3","1","2","3","1","2","3","total"
"1","el sayed nosseir","92.5","97.5","100","102.5","107.5","112.5","x","140","142.5","355"
"2","louis hostin","95","100","x","102.5","107.5","110","132.5","137.5","142.5","352.5"
"3","jan verheijen","x","x","95","105","x","x","132.5","137.5","x","337.5"
"4","jakob vogt","100","x","x","100","x","105","130","x","x","335"
"5","vaclav psenicka","100","x","x","100","105","x","130","x","x","335"
"6","karl freiberger","85","90","95","90","95","x","125","x","132.5","322.5"
"7","pierre vibert","x","95","x","95","x","x","125","x","x","315"
"7","josef zemann","75","x","x","95","102.5","105","130","135","x","315"
"7","karl bierwirth","90","95","x","95","x","x","120","125","","315"
"10","otto garnus","82.5","x","x","90","95","x","125","130","x","307.5"
"11","olaf luiga","80","x","x","90","95","x","130","x","x","305"
"12","willem tholen","x","85","87.5","90","x","x","115","120","x","297.5"
"13","j. van der goten","72.5","77.5","80","85","90","92.5","110","120","x","292.5"
"14","nic scheitler","80","85","x","80","85","x","105","x","","275"
"15","e. donze","75","x","x","77.5","82.5","x","x","100","x","257.5"
