"field and years since doctorate","total","in labor force","in labor force","in labor force","in labor force","in labor force","not in labor force","not in labor force","not in labor force"
"field and years since doctorate","total","all","working for pay or profit","working for pay or profit","working for pay or profit","unemployeda","all","retired","not working, not seeking work"
"field and years since doctorate","total","all","all working","full time","part time","unemployeda","all","retired","not working, not seeking work"
"all u.s. seh doctorate holders","837900","87.8","86","76","10.1","1.8","12.2","10.4","1.7"
"field of doctorate","","","","","","","","",""
"biological, agricultural, and environmental life sciences","211900","88.6","86.6","79.1","7.5","2","11.4","9.2","2.2"
"computer and information sciences","23000","96.5","95.2","90","5.2","1.7","3.5","2.6","0.9"
"mathematics and statistics","39200","84.2","83.2","75.5","7.7","1","15.8","13.8","2"
"physical sciences","148800","84.4","82.1","74.4","7.7","2.3","15.6","13.8","1.7"
"psychology","120200","88.7","87.3","64.5","22.8","1.4","11.3","9.3","2"
"social sciences","105900","85.2","83.6","72.1","11.4","1.6","14.8","13.3","1.5"
"engineering","150600","90.5","88.8","82.7","6.1","1.7","9.5","8.4","1.1"
"health","38300","89.3","87.5","76.5","10.7","1.8","10.7","9.1","1.8"
"years since doctorate","","","","","","","","",""
"2 years or less","60000","98","96.2","89.7","6.5","1.8","2","d","1.8"
"3-5 years","80400","97.8","95.6","89.7","6","2.1","2.4","0.4","2"
"6-10 years","112300","97","95.2","87.3","7.9","1.8","3","0.9","2"
"11-15 years","110900","95.5","94.1","85.1","9","1.4","4.5","2.2","2.4"
"16-20 years","98100","94.4","92.8","84.1","8.7","1.6","5.6","3.4","2.2"
"21-25 years","80900","91.5","89.7","80.2","9.5","1.7","8.7","6.8","1.7"
"more than 25 years","232800","67","65.2","49.3","15.9","1.8","33","32.1","0.9"
