"club","season","league","league","league","cup","cup","cup","europe","europe","europe","total","total","total"
"club","season","apps","goals","assists","apps","goals","assists","apps","goals","assists","apps","goals","assists"
"istra 1961","none","none","none","none","none","none","none","none","none","none","none","none","none"
"istra 1961","2005-06","30","4","0","0","0","0","0","0","0","30","4","0"
"istra 1961","2006-07","13","1","0","0","0","0","0","0","0","13","1","0"
"istra 1961","total","43","5","0","0","0","0","0","0","0","43","5","0"
"rijeka","none","none","none","none","none","none","none","none","none","none","none","none","none"
"rijeka","2006-07","20","0","6","0","0","0","2","0","0","22","0","6"
"rijeka","2007-08","18","1","3","0","0","0","0","0","0","18","1","3"
"rijeka","total","38","1","9","0","0","0","2","0","0","40","1","9"
"red bull salzburg","none","none","none","none","none","none","none","none","none","none","none","none","none"
"red bull salzburg","2007-08","6","0","1","0","0","0","0","0","0","6","0","1"
"red bull salzburg","2008-09","4","0","1","1","0","0","0","0","0","5","0","1"
"red bull salzburg","total","10","0","2","1","0","0","0","0","0","11","0","2"
"sparta prague","none","none","none","none","none","none","none","none","none","none","none","none","none"
"sparta prague","2008-09","14","1","0","0","0","0","0","0","0","14","1","0"
"sparta prague","2009-10","26","0","2","1","0","0","9","0","2","34","0","4"
"sparta prague","2010-11","27","3","2","1","0","0","13","0","8","41","3","10"
"sparta prague","2011-12","28","0","7","6","1","0","4","1","0","38","2","7"
"sparta prague","2012-13","19","0","2","5","0","0","9","0","0","33","0","2"
"sparta prague","total","114","4","13","13","1","0","35","1","10","162","6","23"
"chievo verona","none","none","none","none","none","none","none","none","none","none","none","none","none"
"chievo verona","2013-14","3","0","0","3","0","0","0","0","0","6","0","0"
"chievo verona","total","3","0","0","3","0","0","0","0","0","6","0","0"
"siena","none","none","none","none","none","none","none","none","none","none","none","none","none"
"siena","2013-14","0","0","0","0","0","0","0","0","0","0","0","0"
"siena","total","0","0","0","0","0","0","0","0","0","0","0","0"
"career totals","career totals","208","10","24","17","1","0","37","1","10","262","12","34"
