"attribute and sex","age 20","age 20","age 20","age 20","attribute and sex","age 65","age 65","age 65","age 65"
"attribute and sex","1994/1995","1994/1995","2015","2015","attribute and sex","1994/1995","1994/1995","2015","2015"
"attribute and sex","years","%","years","%","attribute and sex","years","%","years","%"
"males","","","","","","","","",""
"overall","8.6","100.0","9.4","100.0","overall","4.1","100.0","4.7","100.0"
"cognition","2.3","26.7","2.4","25.5","sensory","1.0","24.4","1.0","21.3"
"pain","1.8","20.9","2.2","23.4","pain","0.8","19.5","0.9","19.1"
"sensory","1.7","19.8","1.5","16.0","cognition","0.8","19.5","0.9","19.1"
"emotion","1.2","14.0","1.1","11.7","mobility","0.4","9.8","0.6","12.8"
"mobility","0.5","5.8","0.7","7.4","emotion","0.3","7.3","0.3","6.4"
"dexterity","0.1","1.2","0.1","1.1","dexterity","0.1","2.4","0.1","2.1"
"residual","1.0","11.6","1.4","14.9","residual","0.7","17.1","0.9","19.1"
"females","","","","","","","","",""
"overall","11.9","100.0","12.1","100.0","overall","6.6","100.0","6.7","100.0"
"cognition","2.7","22.7","2.8","23.1","sensory","1.4","21.2","1.0","14.9"
"pain","2.6","21.8","3.2","26.4","pain","1.2","18.2","1.4","20.9"
"sensory","2.2","18.5","1.7","14.0","cognition","1.2","18.2","1.1","16.4"
"emotion","1.3","10.9","1.1","9.1","mobility","0.8","12.1","1.1","16.4"
"mobility","0.9","7.6","1.2","9.9","emotion","0.4","6.1","0.4","6.0"
"dexterity","0.2","1.7","0.1","0.8","dexterity","0.1","1.5","0.1","1.5"
"residual","2.0","16.8","2.0","16.5","residual","1.5","22.7","1.6","23.9"
