"club","season","league","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"bolton wanderers","1973-74","second division","7","0","1","0","1","0","9","0"
"bolton wanderers","1974-75","second division","18","3","0","0","0","0","18","3"
"bolton wanderers","1975-76","second division","40","5","6","1","1","0","47","6"
"bolton wanderers","1976-77","second division","41","6","0","0","13","0","54","6"
"bolton wanderers","1977-78","second division","41","4","4","0","6","1","51","5"
"bolton wanderers","1978-79","first division","20","1","0","0","5","0","25","1"
"bolton wanderers","1979-80","first division","17","2","4","1","2","2","23","5"
"bolton wanderers","total","total","184","21","15","2","28","3","227","26"
"sunderland","1980-81","first division","25","2","0","0","2","0","27","2"
"millwall","1981-82","third division","36","1","4","2","1","0","41","3"
"millwall","1982-83","third division","27","1","1","0","8","0","36","1"
"millwall","total","total","63","2","5","2","9","0","77","4"
"tampa bay rowdies","1983","north american soccer league","11","1","0","0","0","0","11","1"
"coventry city","1983-84","first division","28","1","1","0","3","0","32","1"
"huddersfield town","1984-85","second division","37","0","3","0","2","0","42","0"
"bolton wanderers","1985-86","third division","14","0","0","0","3","0","17","0"
"preston north end","1986-87","fourth division","37","2","5","0","7","1","49","3"
"preston north end","1987-88","third division","39","0","2","0","5","1","46","1"
"preston north end","1988-89","third division","14","0","2","0","5","0","21","0"
"preston north end","total","total","90","2","9","0","17","2","116","4"
"west bromwich albion","1989-90","second division","1","0","0","0","0","0","1","0"
"west bromwich albion","1990-91","second division","0","0","0","0","0","0","0","0"
"west bromwich albion","total","total","1","0","0","0","0","0","1","0"
"limerick","1991-92","league of ireland first division","23","3","0","0","0","0","23","3"
"preston north end","1992-93","second division","3","0","2","0","0","0","5","0"
"career total","career total","career total","479","32","35","5","64","5","578","42"
