"industry","naics code","total","largest state for industry","industry r&d performed in largest state","industry r&d performed in largest state"
"industry","naics code","total","largest state for industry","amount","percent"
"automobiles, bodies, trailers, and parts","3361-3363","11737","michigan","8869","76"
"communications equipment","3342","10796","california","4788","44"
"computer systems design and related services","5415","11706","california","3187","27"
"mining, extraction, and support activities","21","2425","texas","1574","65"
"navigational, measuring, electromedical, and control instruments","3345","10643","california","2694","25"
"computer and peripheral products","3341, 3343, 3346","9370","california","5075","54"
"pharmaceuticals and medicines","3254","41111","california","10042","24"
"semiconductor and other electronic components","3344","22855","california","10860","48"
"semiconductor machinery","333295","2220","california","1592","72"
"software publishers","5112","27280","california","7777","29"
