"title","album details","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","sales"
"title","album details","ger","fra","aut","swi","swe","nor","nld","bel","bel","sales"
"the final experiment","released: 27 october 1995 label: transmission, inside out music, spv formats: cd","-","-","-","-","-","-","-","-","-","none"
"actual fantasy","released: 23 october 1996 label: transmission, inside out music, spv formats: cd","-","-","-","-","-","-","-","-","-","none"
"into the electric castle","released: 30 august 1998 label: transmission, inside out music, spv formats: cd, digital download","-","-","-","-","-","-","49","-","-","none"
"universal migrator part 1: the dream sequencer","released: 20 june 2000 label: transmission, inside out music, spv formats: cd, digital download","90","-","-","-","-","-","64","-","-","none"
"universal migrator part 2: flight of the migrator","released: 20 june 2000 label: transmission, inside out music, spv formats: cd, digital download","87","-","-","-","-","-","61","-","-","none"
"the human equation","released: 25 may 2004 label: inside out music formats: cd, digital download","50","160","-","-","-","-","7","-","-","none"
"01011001","released: 25 january 2008 label: inside out music formats: cd, digital download","18","90","-","85","54","-","2","96","80","none"
"the theory of everything","released: 28 october 2013 label: inside out music formats: cd, digital download","21","-","37","41","46","26","3","36","58","us: 2,790"
"the source","released: 28 april 2017 label: mascot label group formats:","10","95","21","17","27","21","1","36","38","none"
""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory"
