"year","team","games","games","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","returning","returning","returning","returning","returning","fumbles","fumbles"
"year","team","gp","gs","rec","yds","avg","lng","td","att","yds","avg","lng","td","ret","yds","avg","lng","td","fum","lost"
"2009","ne","11","7","37","359","9.7","29","1","2","5","2.5","5","0","6","63","10.5","35","0","1","0"
"2010","ne","15","3","7","86","12.3","40","0","2","14","7.0","13","0","21","321","15.3","94","1","1","0"
"2011","ne","13","0","4","34","8.5","11","0","4","8","2.0","6","0","40","580","14.5","72","1","3","1"
"2012","ne","16","3","21","235","11.2","56","3","4","45","11.3","47","0","20","301","15.0","68","1","1","1"
"2013","ne","16","11","105","1,056","10.1","44","6","2","11","5.5","7","0","35","374","10.7","43","0","6","0"
"2014","ne","14","13","92","972","10.6","69","4","10","94","9.4","25","0","25","299","12.0","84","1","3","0"
"2015","ne","9","9","61","692","11.3","59","7","3","23","7.7","12","0","10","81","8.1","19","0","1","1"
"2016","ne","16","13","98","1,106","11.3","77","3","12","57","4.8","9","0","18","179","9.9","23","0","3","2"
"2017","ne","0","0","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury"
"2018","ne","12","12","74","850","11.5","36","6","9","107","11.9","20","0","20","154","7.7","25","0","1","0"
"total","total","122","71","499","5,390","10.8","77","30","48","364","7.6","47","0","206","2,593","12.6","94","4","20","5"
"","","","","","","","","","","","","","","","","","","","",""
