"dvd name","eps","dvd release dates","dvd release dates","dvd release dates","blu-ray release dates","blu-ray release dates","blu-ray release dates"
"dvd name","eps","region 1","region 2","region 4","region a","region b uk","region b australia"
"the complete first season","24","april 30, 2002","may 29, 2000","october 4, 2006","april 30, 2013","",""
"the complete second season","24","september 3, 2002","may 29, 2000","october 4, 2006","april 30, 2013","",""
"the complete third season","25","april 1, 2003","may 29, 2000","october 4, 2006","","",""
"the complete fourth season","24","july 15, 2003","may 29, 2000","october 4, 2006","","",""
"the complete fifth season","24","november 4, 2003","may 29, 2000","october 4, 2006","","",""
"the complete sixth season","25","january 27, 2004","july 17, 2000","october 4, 2006","","",""
"the complete seventh season","24","april 6, 2004","october 25, 2004","october 4, 2006","","",""
"the complete eighth season","24","november 9, 2004","october 25, 2004","october 4, 2006","","",""
"the complete ninth season","24","march 8, 2005","october 25, 2004","october 4, 2006","","",""
"the complete tenth season","18","november 15, 2005","october 25, 2004","october 4, 2006","","",""
"the complete series","236","november 15, 2005 november 14, 2006 (re-issue) april 16, 2013","october 2, 2006 november 12, 2007 (re-issue) september 28, 2009","","november 13, 2012","november 12, 2012","november 21, 2012 (jb hi-fi exclusive) august 21, 2013"
