"club","league","season","league","league","playoffs","playoffs","domestic cup","domestic cup","continental cup","continental cup","total","total"
"club","league","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"pitea if","damallsvenskan","2009","20","0","0","0","0","0","0","0","20","0"
"pitea if","damallsvenskan","2011","17","0","0","0","0","0","0","0","17","0"
"pitea if","total","total","37","0","0","0","0","0","0","0","37","0"
"kif orebro","damallsvenskan","2012","21","0","0","0","2","0","0","0","23","0"
"kif orebro","damallsvenskan","2013","21","0","0","0","4","0","0","0","25","0"
"kif orebro","damallsvenskan","2014","20","0","0","0","1","0","0","0","21","0"
"kif orebro","total","total","62","0","0","0","7","0","0","0","69","0"
"washington spirit","nwsl","2016","8","0","0","0","0","0","0","0","8","0"
"washington spirit","nwsl","2017","17","0","0","0","0","0","0","0","17","0"
"washington spirit","total","total","25","0","0","0","0","0","0","0","25","0"
"calgary foothills wfc","uws","2018","6","0","0","0","0","0","0","0","6","0"
"linkopings fc","damallsvenskan","2018","9","0","0","0","1","0","2","0","12","0"
"north carolina courage","nwsl","2019","1","0","0","0","0","0","0","0","1","0"
"career total","career total","career total","140","0","0","0","8","0","2","0","150","0"
