"selected characteristics of targeted members","total sexualized or discriminatory behaviours","total sexualized or discriminatory behaviours","sexualized behaviours","sexualized behaviours","sexualized behaviours","sexualized behaviours","discriminatory behaviours","discriminatory behaviours","discriminatory behaviours"
"selected characteristics of targeted members","total sexualized or discriminatory behaviours","total sexualized or discriminatory behaviours","total sexualized behaviours","inappropriate verbal or non-verbal communication","sexually explicit materials","physical contact or suggested sexual relations","total discriminatory behaviours","discrimination on the basis of sex","discrimination on the basis of sexual orientation or gender identity"
"selected characteristics of targeted members","number","percent","percent","percent","percent","percent","percent","percent","percent"
"environmental command","","","","","","","","",""
"canadian army","3,080","14.5","13.7","12.5","2.6","4.2","4.1","3.9","0.6"
"royal canadian navy","1,330","18.2","17.2","15.2","2.7","6.3","6.2","6.0","0.7"
"royal canadian air force","1,900","15.7","14.4","13.0","2.1","4.5","5.5","5.3","0.8"
"military personnel command","780","16.9","15.0","13.1","1.6","6.2","6.7","6.5","0.8"
"other","1,270","14.0","12.6","11.0","1.7","4.4","4.9","4.8","0.5"
"gender","","","","","","","","",""
"women","2,220","28.1","24.7","21.2","3.0","14.8","15.2","15.0","1.7"
"men","6,010","13.0","12.3","11.2","2.1","3.0","3.3","3.1","0.5"
"gender diverse","40","34.9","30.8","25.2","f","f","f","f","f"
"indigenous identity","","","","","","","","",""
"indigenous (first nations, metis, inuit) person","360","16.4","15.3","14.4","2.8","5.2","4.9","4.6","1.5"
"non-indigenous person","7,980","15.3","14.2","12.7","2.2","4.7","5.0","4.9","0.6"
"persons with disabilities","","","","","","","","",""
"persons with disabilities","450","21.1","18.3","15.9","3.0","6.6","9.2","8.9","1.8"
"persons without disabilities","7,880","15.1","14.1","12.6","2.2","4.7","4.9","4.7","0.6"
"visible minority","","","","","","","","",""
"visible minority","550","14.8","13.7","12.3","2.1","4.9","5.1","4.9","0.9"
"non-visible minority","7,800","15.4","14.3","12.8","2.3","4.7","5.0","4.9","0.6"
"rank","","","","","","","","",""
"junior non-commissioned member","5,310","18.2","17.3","15.8","3.3","5.7","5.7","5.5","0.9"
"senior non-commissioned member","1,310","10.1","9.3","8.2","1.0","2.8","2.7","2.6","0.3"
"junior officer","1,210","18.0","16.0","13.5","1.6","5.8","7.3","7.0","0.8"
"senior officer","530","9.6","7.9","6.6","0.3","2.9","4.3","4.3","0.4"
"age group","","","","","","","","",""
"24 years and younger","970","21.1","20.7","19.4","4.3","7.1","6.9","6.6","1.2"
"25 to 29 years","2,170","21.6","20.5","18.9","3.9","6.8","7.1","7.0","0.8"
"30 to 34 years","1,900","17.3","16.1","14.7","2.4","4.9","5.1","4.9","0.5"
"35 to 39 years","1,490","15.5","14.2","12.4","2.2","4.7","5.4","5.3","0.8"
"40 to 44 years","820","11.2","10.0","8.4","1.4","3.9","3.8","3.6","0.6"
"45 to 49 years","550","9.8","8.6","7.2","0.8","3.1","3.3","3.3","0.5"
"50 years and older","470","7.4","6.5","5.5","0.5","2.0","2.6","2.5","0.4"
"total","8,370","15.4","14.3","12.8","2.3","4.7","4.9","4.9","0.7"
