"rank","athlete","attempts","attempts","attempts","attempts","attempts","attempts","result","note"
"rank","athlete","1","2","3","4","5","6","result","note"
"none","viktor saneyev","x","16.71","17.06","x","17.29","x","17.29 m","none"
"none","james butts","16.69","16.76","14.80","17.18","16.55","16.61","17.18 m","none"
"none","joao carlos de oliveira","x","16.15","16.85","14.91","16.69","16.90","16.90 m","none"
"4","pedro perez","16.81","16.24","16.48","16.47","x","x","16.81 m","none"
"5","tommy haynes","15.46","x","16.68","16.78","16.71","16.71","16.78 m","none"
"6","wolfgang kolmsee","16.23","x","16.68","16.58","16.31","x","16.68 m","none"
"7","eugeniusz biskupski","15.91","x","16.49","x","15.79","x","16.49 m","none"
"8","carol corbu","16.07","16.18","16.43","x","16.00","x","16.43 m","none"
"none","none","none","none","none","none","none","none","none","none"
"9","jiri vycichlo","x","x","16.28","none","none","none","16.28 m","none"
"10","pentti kuukasjarvi","16.15","16.14","16.23","none","none","none","16.23 m","none"
"11","bernard lamitie","x","16.23","15.93","none","none","none","16.23 m","none"
"12","rayfield dupree","x","16.23","15.90","none","none","none","16.23 m","none"
