"version","main gun","superstructure armour","superstructure armour","superstructure armour","hull armour","hull armour","hull armour","turret armour","turret armour","turret armour","weight","engine","notes"
"version","main gun","f","s","r","f","s","r","f","s","r","weight","engine","notes"
"ausf. a vk622","7.5 cm (3.0 in) kwk 37 l/24","15 mm","15 mm","15 mm","15 mm","15 mm","15 mm","15 mm","15 mm","15 mm","18.4 t","maybach hl 108tr 250 ps","sgr 75 transmission"
"ausf. b","7.5 cm kwk 37 l/24","30 mm","15 mm","15 mm","30 mm","15 mm","15 mm","30 mm","15 mm","15 mm","18.8 t","maybach hl 108tr 250 ps","ssg 75 transmission"
"ausf. c","7.5 cm kwk 37 l/24","30 mm","15 mm","15 mm","30 mm","15 mm","15 mm","30 mm","15 mm","15 mm","19.0 t","maybach hl 120 trm 300 ps","none"
"ausf. d","7.5 cm kwk 37 l/24","30 mm + 30 mm","20 mm (0.79 in) + 20 mm","20 mm","30 mm","20 mm","20 mm","30 mm","20 mm","20 mm","20.0 t","maybach hl 120 trm 300 ps","none"
"ausf. e","7.5 cm kwk 37 l/24","30 mm + 30 mm","20 mm + 20 mm","20 mm","30 mm + 30 mm","20 mm + 20 mm","20 mm","30 mm","20 mm","20 mm","21.0 t","maybach hl 120 trm 300 ps","none"
"ausf. f1","7.5 cm kwk 37 l/24","50 mm","30 mm","20 mm","50 mm","30 mm","20 mm","50 mm","30 mm","30 mm","22.3 t","maybach hl 120 trm 300 ps","track width increased from 380 to 400 mm"
"ausf. f2","7.5 cm kwk 40 l/43","50 mm","30 mm","20 mm","50 mm","30 mm","20 mm","50 mm","30 mm","30 mm","23.0 t","maybach hl 120 trm 300 ps","single-chamber, globe, muzzle brake"
"ausf. g","7.5 cm kwk 40 l/43","50 mm + 30 mm","30 mm","20 mm","50 mm + 30 mm","30 mm","20 mm","50 mm","30 mm + 8 mm","30 mm + 8 mm","23.5 t","maybach hl 120 trm 300 ps","multi-baffle muzzle brake"
"ausf. h","7.5 cm kwk 40 l/48","80 mm","30 mm","20 mm","80 mm","30 mm","20 mm","50 mm","30 mm + 8 mm","30 mm + 8 mm","25.0 t","maybach hl 120 trm 300 ps","zimmerit paste added to vertical surfaces ssg 77 transmission"
"ausf. j","7.5 cm kwk 40 l/48","80 mm","30 mm","20 mm","80 mm","30 mm","20 mm","50 mm","30 mm + 8 mm","30 mm + 8 mm","25.0 t","maybach hl 120 trm 300 ps","electric motor for turret traverse removed, rolled homogeneous armour, no zimmerit"
