"year","team","games","games","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"year","team","gp","gs","rec","yds","avg","lng","td","att","yds","avg","lng","td","fum","lost"
"2013","buf","12","1","17","283","16.6","59t","3","3","13","4.3","17","0","1","1"
"2014","buf","10","0","1","42","42.0","42","0","3","8","2.7","12","0","1","0"
"2015","buf","2","0","2","24","12.0","14","0","-","-","-","-","-","-","-"
"2016","buf","15","9","29","431","14.9","84t","3","-","-","-","-","-","-","-"
"2017","sf","16","6","56","962","17.2","83t","2","4","44","11.0","18","0","-","-"
"2018","sf","11","8","23","395","17.2","67t","4","4","9","2.3","5","0","1","0"
"career","career","66","34","128","2,137","16.7","84","12","14","74","5.3","18","0","3","1"
"stats at nfl.com","stats at nfl.com","stats at nfl.com","stats at nfl.com","stats at nfl.com","stats at nfl.com","stats at nfl.com","stats at nfl.com","stats at nfl.com","stats at nfl.com","stats at nfl.com","stats at nfl.com","stats at nfl.com","stats at nfl.com","stats at nfl.com","stats at nfl.com"
