"club","season","division","league","league","taca de portugal","taca de portugal","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"desportivo beja","1996-97","segunda divisao de honra","11","0","1","0","0","0","12","0"
"vitoria setubal","1995-96","segunda divisao de honra","0","0","0","0","0","0","0","0"
"vitoria setubal","1996-97","primeira divisao","0","0","0","0","0","0","0","0"
"vitoria setubal","1997-98","primeira divisao","0","0","1","0","0","0","1","0"
"vitoria setubal","1998-99","primeira divisao","28","0","6","0","0","0","34","0"
"vitoria setubal","1999-2000","primeira liga","24","0","2","0","1","0","27","0"
"vitoria setubal","2000-01","segunda liga","21","0","1","0","0","0","22","0"
"vitoria setubal","2001-02","primeira liga","10","0","1","0","0","0","11","0"
"vitoria setubal","2002-03","primeira liga","18","0","1","0","0","0","19","0"
"vitoria setubal","2003-04","segunda liga","3","0","4","0","0","0","7","0"
"vitoria setubal","2004-05","primeira liga","19","0","1","0","0","0","20","0"
"vitoria setubal","2005-06","primeira liga","8","0","2","0","0","0","10","0"
"vitoria setubal","2006-07","primeira liga","2","0","0","0","2","0","4","0"
"vitoria setubal","2007-08","primeira liga","1","0","0","0","0","0","1","0"
"total","total","total","134","0","19","0","3","0","156","0"
"torreense","2008-09","segunda divisao - serie d","27","0","2","0","0","0","29","0"
"aljustrelense","2009-10","segunda divisao zona sul","15","0","0","0","0","0","15","0"
"career total","career total","career total","187","0","22","0","3","0","212","0"
