"sex and cause of death","first nations","first nations","first nations","first nations","first nations","non-aboriginal","non-aboriginal","non-aboriginal","non-aboriginal","non-aboriginal","first nations compared with non-aboriginal","first nations compared with non-aboriginal","first nations compared with non-aboriginal","first nations compared with non-aboriginal","first nations compared with non-aboriginal","first nations compared with non-aboriginal"
"sex and cause of death","avoidable deaths","avoidable deaths","asmr","95% confidence interval","95% confidence interval","avoidable deaths","avoidable deaths","asmr","95% confidence interval","95% confidence interval","rr","95% confidence interval","95% confidence interval","rd","95% confidence interval","95% confidence interval"
"sex and cause of death","number","%","asmr","from","to","number","%","asmr","from","to","rr","from","to","rd","from","to"
"men","","","","","","","","","","","","","","","",""
"diseases of circulatory system","720","28.8","195.5","181.2","210.9","30,850","37.7","119.8","118.4","121.2","1.63","1.51","1.76","75.7","60.7","90.6"
"unintentional injuries","455","18.2","123.2","112.3","135.1","4,655","5.7","26.2","25.4","27.0","4.71","4.27","5.19","97.0","85.5","108.4"
"lung cancer","200","8.0","54.3","46.9","62.8","14,420","17.6","53.9","53.0","54.9","1.01","0.87","1.17","0.3","-7.7","8.3"
"diabetes mellitus","190","7.6","50.6","43.7","58.4","3,020","3.7","11.7","11.3","12.2","4.31","3.71","5.01","38.8","31.5","46.2"
"alcohol and drug use disorders","185","7.4","50.1","43.2","58.1","2,115","2.6","9.2","8.8","9.7","5.43","4.65","6.34","40.9","33.5","48.3"
"infections","135","5.4","36.9","30.9","44.0","3,065","3.7","14.9","14.4","15.5","2.47","2.06","2.96","21.9","15.4","28.4"
"suicide and self-inflicted injuries","135","5.4","36.2","30.5","43.0","3,755","4.6","22.4","21.6","23.1","1.62","1.36","1.93","13.8","7.5","20.1"
"other neoplasms","115","4.6","31.9","26.2","38.9","7,440","9.1","30.1","29.4","30.8","1.06","0.87","1.30","1.9","-4.5","8.2"
"diseases of respiratory system","85","3.4","23.6","19.0","29.4","4,410","5.4","16.2","15.7","16.7","1.46","1.17","1.82","7.4","2.2","12.6"
"colorectal cancer","65","2.6","18.1","14.0","23.4","4,590","5.6","17.8","17.3","18.4","1.02","0.79","1.31","0.3","-4.4","4.9"
"other causes","215","8.6","58.8","51.3","67.5","3,485","4.3","15.3","14.8","15.9","3.84","3.33","4.42","43.5","35.4","51.6"
"women","","","","","","","","","","","","","","","",""
"diseases of circulatory system","475","22.3","105.5","96.1","115.8","11,195","26.5","45.2","44.4","46.1","2.33","2.12","2.57","60.3","50.4","70.2"
"diabetes mellitus","225","10.6","48.7","42.6","55.6","1,515","3.6","6.1","5.8","6.4","7.97","6.90","9.20","42.6","36.1","49.1"
"unintentional injuries","220","10.3","44.3","38.8","50.6","1,710","4.1","9.0","8.6","9.5","4.91","4.26","5.66","35.3","29.4","41.2"
"lung cancer","175","8.2","36.4","31.3","42.3","7,865","18.6","33.2","32.4","33.9","1.10","0.94","1.28","3.2","-2.3","8.7"
"infections","155","7.3","33.8","28.8","39.8","1,175","2.8","5.1","4.8","5.5","6.59","5.55","7.83","28.7","23.2","34.2"
"other neoplasms","145","6.8","30.3","25.7","35.6","3,820","9.1","17.2","16.6","17.8","1.76","1.49","2.08","13.1","8.1","18.0"
"alcohol and drug use disorders","145","6.8","30.2","25.6","35.6","625","1.5","3.0","2.8","3.2","10.11","8.40","12.15","27.2","22.2","32.2"
"malignant neoplasm of breast","130","6.1","27.9","23.5","33.3","6,380","15.1","29.4","28.6","30.1","0.95","0.80","1.14","-1.4","-6.3","3.5"
"diseases of respiratory system","110","5.2","24.7","20.3","29.9","2,380","5.6","9.3","8.9","9.7","2.66","2.18","3.24","15.4","10.6","20.2"
"colorectal cancer","80","3.8","16.8","13.3","21.2","2,620","6.2","11.1","10.7","11.5","1.51","1.20","1.91","5.7","1.8","9.6"
"suicide and self-inflicted injuries","60","2.8","12.0","9.3","15.5","1,045","2.5","6.1","5.8","6.5","1.96","1.51","2.54","5.9","2.8","8.9"
"other causes","200","9.4","42.6","36.9","49.2","1,880","4.5","8.8","8.4","9.2","4.84","4.16","5.62","33.8","27.7","39.9"
