"club","season","league","league","league","cup","cup","other cups","other cups","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"caen","2008-09","ligue 1","3","0","0","0","0","0","-","-","3","0"
"caen","2009-10","ligue 2","34","11","0","0","0","0","-","-","34","11"
"caen","2010-11","ligue 1","38","17","1","0","0","0","-","-","39","17"
"caen","total","total","75","28","1","0","0","0","-","-","76","28"
"al-hilal","2011-12","saudi professional league","21","12","1","0","4","0","6","4","32","16"
"al-hilal","total","total","21","12","1","0","4","0","6","4","32","16"
"granada","2012-13","la liga","31","8","1","0","-","-","32","8","none","none"
"granada","2013-14","la liga","36","12","0","0","-","-","36","12","none","none"
"granada","2014-15","la liga","28","8","0","0","-","-","28","8","none","none"
"granada","2015-16","la liga","35","16","3","1","-","-","38","17","none","none"
"granada","total","total","130","44","4","1","-","-","134","45","none","none"
"al duhail","2016-17","qatar stars league","18","24","0","0","-","-","4","3","22","27"
"al duhail","2017-18","qatar stars league","13","19","3","7","-","-","16","26","none","none"
"al duhail","total","total","31","43","3","7","-","-","4","3","38","53"
"career total","career total","career total","257","127","9","8","4","0","10","7","280","142"
