"ethnic group","census 1948","census 1948","census 1953","census 1953","census 1961","census 1961","census 1971","census 1971","census 1981","census 1981","census 1994","census 1994","census 2002","census 2002"
"ethnic group","number","%","number","%","number","%","number","%","number","%","number","%","number","%"
"macedonians",".",".","3,747","39.2","6,809","66.0","9,900","64.3","13,236","58.9","15,255","60.7","15,031","55.5"
"albanians",".",".","232","2.4","681","6.6","2,284","14.9","4,516","20.1","5,902","23.5","7,641","28.2"
"turks",".",".","4,749","49.7","2,079","20.2","2,041","13.3","2,175","9.7","2,175","8.7","2,406","8.9"
"romani",".",".","54","0.6","0","0.0","17","0.1","304","1.3","1,235","4.9","1,329","4.9"
"serbs",".",".","484","5.1","394","3.8","305","2.0","203","0.9","96","0.4","82","0.3"
"vlachs",".",".","4","0.1","0","0.0","0","0.0","5","0.0","15","0.1","75","0.3"
"bosniaks",".",".","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","7","0.0"
"others",".",".","297","3.1","394","3.5","846","5.5","2,040","9.1","451","1.8","496","1.8"
"total","7,280","7,280","9,567","9,567","10,324","10,324","15,393","15,393","22,479","22,479","25,129","25,129","27,076","27,076"
"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
