"club","season","league","league","league","national cup","national cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"nacional","2005-06","primera division","27","10","-","-","3","0","4","2","34","12","none","none"
"groningen","2006-07","eredivisie","29","10","2","1","-","-","2","1","4","3","37","15"
"ajax","2007-08","eredivisie","33","17","3","2","-","-","4","1","4","2","44","22"
"ajax","2008-09","eredivisie","31","22","2","1","-","-","10","5","-","-","43","28"
"ajax","2009-10","eredivisie","33","35","5","8","-","-","9","6","-","-","47","49"
"ajax","2010-11","eredivisie","13","7","1","1","-","-","9","4","1","0","24","12"
"ajax","total","total","110","81","11","12","-","-","32","16","5","2","158","111"
"liverpool","2010-11","premier league","13","4","0","0","0","0","0","0","-","-","13","4"
"liverpool","2011-12","premier league","31","11","4","3","4","3","-","-","39","17","none","none"
"liverpool","2012-13","premier league","33","23","2","2","1","1","8","4","-","-","44","30"
"liverpool","2013-14","premier league","33","31","3","0","1","0","-","-","37","31","none","none"
"liverpool","total","total","110","69","9","5","6","4","8","4","-","-","133","82"
"barcelona","2014-15","la liga","27","16","6","2","-","-","10","7","-","-","43","25"
"barcelona","2015-16","la liga","35","40","4","5","-","-","9","8","5","6","53","59"
"barcelona","2016-17","la liga","35","29","6","4","-","-","9","3","1","1","51","37"
"barcelona","2017-18","la liga","33","25","6","5","-","-","10","1","2","0","51","31"
"barcelona","2018-19","la liga","33","21","5","3","-","-","8","0","1","0","47","24"
"barcelona","total","total","163","131","27","19","-","-","46","19","9","7","245","176"
"career total","career total","career total","439","301","49","37","6","4","91","40","22","14","607","396"
