"","total","total","total","total","male","male","male","male","female","female","female","female"
"","'000","%","95% confidence interval","95% confidence interval","'000","%","95% confidence interval","95% confidence interval","'000","%","95% confidence interval","95% confidence interval"
"","'000","%","from","to","'000","%","from","to","'000","%","from","to"
"total","3,429.7","12.2","11.5","12.8","2,236.8","16.1","15.1","17.2","1,192.9","8.3","7.6","9.1"
"age group","","","","","","","","","","","",""
"15 to 17","275.5","20.0","17.0","23.4","146.4","20.5","15.9","26.0","129.1","19.5","15.4","24.3"
"18 to 24","1,021.8","33.3","30.6","36.0","641.3","41.1","37.0","45.3","380.5","25.2","22.0","28.6"
"25 to 44","1,444.9","15.6","14.4","16.9","965.7","20.9","18.8","23.1","479.1","10.3","9.0","11.9"
"45 to 64","648.6","6.7","5.9","7.6","450.2","9.4","8.1","10.9","198.4","4.1","3.3","5.0"
"65 or older","38.9","0.8","0.6","1.1","33.3","1.5","1.0","2.2","5.6","0.2","0.1","0.4"
"province","","","","","","","","","","","",""
"newfoundland and labrador","47.3","12.2","9.6","15.3","27.4","14.2","10.3","19.2","19.9","10.3","7.6","13.6"
"prince edward island","12.4","10.8","8.0","14.5","7.1","12.4","8.7","17.4","5.3","9.3","6.1","13.8"
"nova scotia","115.3","15.7","13.6","18.0","74.9","20.9","17.6","24.7","40.3","10.8","8.5","13.7"
"new brunswick","68.4","11.6","9.8","13.8","45.7","15.8","12.7","19.6","22.7","7.8","5.9","10.2"
"quebec","763.3","11.9","10.6","13.3","496.1","15.2","13.2","17.5","267.2","8.5","7.1","10.2"
"ontario","1,331.3","12.0","10.8","13.3","879.3","15.9","14.1","17.9","452.0","8.1","6.9","9.5"
"manitoba","110.2","11.1","9.2","13.4","66.1","13.3","10.3","17.1","44.1","8.9","7.0","11.3"
"saskatchewan","81.7","9.9","8.1","12.0","53.5","12.6","9.6","16.3","28.2","7.0","5.3","9.3"
"alberta","361.2","11.1","9.6","12.6","250.7","15.2","12.9","17.7","110.6","6.9","5.4","8.7"
"british columbia","538.4","14.3","12.6","16.2","336.0","17.9","15.2","20.9","202.4","10.8","9.0","12.9"
"immigration status","","","","","","","","","","","",""
"non-immigrant","3,092.8","14.7","14.0","15.6","1,994.1","19.3","18.1","20.6","1,098.6","10.3","9.4","11.2"
"immigrant","323.9","4.6","3.8","5.6","230.5","6.7","5.2","8.5","93.4","2.6","1.9","3.5"
"years since immigration: 10 or less","93.1","4.6","3.4","6.4","62.5","6.4","4.3","9.4","30.6","3.0","1.8","4.8"
"years since immigration: more than 10","230.8","4.6","3.6","5.9","168.0","6.8","5.0","9.1","62.8","2.4","1.6","3.6"
"residence","","","","","","","","","","","",""
"population centre","2,955.0","12.7","12.0","13.5","1,935.9","17.1","15.9","18.4","1,019.1","8.5","7.8","9.4"
"rural","474.7","9.6","8.4","10.9","300.9","11.7","10.0","13.8","173.8","7.3","6.0","8.9"
"household income quintile","","","","","","","","","","","",""
"1","743.8","13.2","11.8","14.7","426.5","17.8","15.4","20.5","317.3","9.8","8.3","11.4"
"2","656.6","11.6","10.2","13.3","412.7","15.7","13.3","18.4","243.9","8.1","6.6","9.8"
"3","640.8","11.3","10.0","12.6","413.7","14.7","12.6","17.0","227.1","7.9","6.7","9.3"
"4","751.6","13.1","11.6","14.8","506.5","16.7","14.3","19.5","245.1","9.0","7.5","10.8"
"5","636.9","11.6","10.2","13.1","477.4","15.8","13.7","18.1","159.5","6.4","5.1","8.1"
