"macronutrient, sex, age group","median % of energy","amdr","within amdr","within amdr","within amdr","% below amdr","% above amdr"
"macronutrient, sex, age group","median % of energy","amdr","%","95% confidence interval","95% confidence interval","% below amdr","% above amdr"
"macronutrient, sex, age group","median % of energy","amdr","%","from","to","% below amdr","% above amdr"
"protein","","","","","","",""
"male","","","","","","",""
"2 to 3","18.9","5 to 20","58","54","63","0","41.6"
"4 to 8","18.3","10 to 30","greater than 98","greater than 98","greater than 98","0","0"
"9 to 13","22.0","10 to 30","greater than 98","greater than 98","greater than 98","0","0"
"14 to18","22.8","10 to 30","greater than 98","greater than 98","greater than 98","0","0.8"
"19 to 30","20.5","10 to 35","greater than 98","greater than 98","greater than 98","0","0"
"31 to 50","21.5","10 to 35","greater than 98","greater than 98","greater than 98","0","0"
"51 to 70","22.5","10 to 35","greater than 98","greater than 98","greater than 98","0","0"
"71 or older","22.2","10 to 35","greater than 98","greater than 98","greater than 98","0","0"
"female","","","","","","",""
"2 to 3","19.6","5 to 20","55","50","59","0","45.4"
"4 to 8","18.5","10 to 30","greater than 98","greater than 98","greater than 98","0.2","0"
"9 to 13","18.0","10 to 30","greater than 98","greater than 98","greater than 98","0","0"
"14 to 18","21.3","10 to 30","greater than 98","greater than 98","greater than 98","0","0.8"
"19 to 30","19.3","10 to 35","greater than 98","greater than 98","greater than 98","0","0"
"31 to 50","20.6","10 to 35","greater than 98","greater than 98","greater than 98","0","0"
"51 to 70","21.5","10 to 35","greater than 98","greater than 98","greater than 98","0","0"
"71 or older","20.6","10 to 35","greater than 98","greater than 98","greater than 98","0","0"
"carbohydrate","","","","","","",""
"male","","","","","","",""
"2 to 3","47.5","45 to 65","66","62","71","33.2","0.4"
"4 to 8","51.6","45 to 65","greater than 84","greater than 84","greater than 84","9.8","2.6"
"9 to 13","53.0","45 to 65","greater than 84","greater than 84","greater than 84","2.4","0.4"
"14 to 18","50.6","45 to 65","greater than 84","greater than 84","greater than 84","6.6","0"
"19 to 30","53.9","45 to 65","greater than 84","greater than 84","greater than 84","0.2","0.8"
"31 to 50","52.4","45 to 65","greater than 84","greater than 84","greater than 84","2.6","0.4"
"51 to 70","50.5","45 to 65","greater than 84","greater than 84","greater than 84","9.6","0.2"
"71 or older","50.6","45 to 65","greater than 84","greater than 84","greater than 84","6.6","0"
"female","","","","","","",""
"2 to 3","46.8","45 to 65","60","55","64","39.6","0.8"
"4 to 8","50.7","45 to 65","greater than 84","greater than 84","greater than 84","10.8","1.8"
"9 to 13","57.3","45 to 65","greater than 84","greater than 84","greater than 84","0.4","9.8"
"14 to 18","55.0","45 to 65","greater than 84","greater than 84","greater than 84","1.4","0.6"
"19 to 30","57.6","45 to 65","greater than 84","greater than 84","greater than 84","0.4","4.8"
"31 to 50","54.3","45 to 65","greater than 84","greater than 84","greater than 84","2.8","1.6"
"51 to 70","54.4","45 to 65","greater than 84","greater than 84","greater than 84","2.2","1.4"
"71 or older","55.1","45 to 65","greater than 84","greater than 84","greater than 84","0.6","0.6"
"fat","","","","","","",""
"male","","","","","","",""
"2 to 3","34.6","30 to 40","58","54","62","26.8","15.2"
"4 to 8","30.9","25 to 35","64","60","68","20.2","15.6"
"9 to 13","25.1","25 to 35","51","47","56","48.8","0"
"14 to 18","26.7","25 to 35","66","62","70","33.8","0.4"
"19 to 30","25.8","20 to 35","greater than 84","greater than 84","greater than 84","12.6","0.4"
"31 to 50","26.1","20 to 35","greater than 84","greater than 84","greater than 84","10.4","0.8"
"51 to 70","27.2","20 to 35","greater than 84","greater than 84","greater than 84","7.4","1.2"
"71 or older","27.4","20 to 35","greater than 84","greater than 84","greater than 84","6.6","0.8"
"female","","","","","","",""
"2 to 3","35.0","30 to 40","60","56","64","25.8","14.4"
"4 to 8","31.7","25 to 35","66","62","70","15.0","19.0"
"9 to 13","24.8","25 to 35","48","44","52","51.4","0.4"
"14 to 18","23.8","25 to 35","38","34","43","61.8","0.2"
"19 to 30","23.3","20 to 35","72","68","75","28.2","0.2"
"31 to 50","25.1","20 to 35","80","77","83","19.0","0.8"
"51 to 70","24.4","20 to 35","80","76","84","20.0","0"
"71 or older","24.7","20 to 35","84","80","87","16.2","0"
