"sex and age group","alpha-linolenic acid","alpha-linolenic acid","linoleic acid","linoleic acid","potassium","potassium","fibre","fibre","sodium","sodium"
"sex and age group","median nutrient content","ai","median nutrient content","ai","median nutrient content","ai","median nutrient content","ai","% of diets above ul","ul"
"male","","","","","","","","","",""
"2 to 3","1.9","0.7","7.0","7","2,075","3,000","10.9","14","12.0","1,500"
"4 to 8","1.9","0.9","7.0","10","2,309","3,800","11.6","14","3.0","1,900"
"9 to 13","2.3","1.2","8.5","12","3,517","4,500","11.8","14","18.4","2,200"
"14 to 18","3.9","1.6","11.8","16","4,367","4,700","10.5","14","51.2","2,300"
"19 to 30","4.4","1.6","12.1","17","4,391","4,700","13.4","14","38.6","2,300"
"31 to 50","2.8","1.6","11.1","17","3,935","4,700","13.5","14","32.4","2,300"
"51 to 70","2.9","1.6","11.3","14","3,951","4,700","12.4","14","35.6","2,300"
"71 or older","2.7","1.6","11.8","14","3,977","4,700","12.7","14","36.0","2,300"
"female","","","","","","","","","",""
"2 to 3","1.8","0.7","7.2","7","2,085","3,000","10.6","14","12.6","1,500"
"4 to 8","1.9","0.9","7.3","10","2,316","3,800","11.8","14","5.6","1,900"
"9 to 13","1.9","1.0","7.6","10","3,166","4,500","11.7","14","11.6","2,200"
"14 to 18","2.2","1.1","8.1","11","3,680","4,700","11.5","14","17.8","2,300"
"19 to 30","2.0","1.1","8.1","12","3,468","4,700","13.8","14","9.2","2,300"
"31 to 50","2.0","1.1","7.9","12","3,297","4,700","14.0","14","6.6","2,300"
"51 to 70","2.0","1.1","8.5","11","3,582","4,700","13.3","14","9.8","2,300"
"71 or older","2.0","1.1","8.6","11","3,636","4,700","13.8","14","9.8","2,300"
