"year","total sa benefits","total sa benefits paid to rcs","percentage of sa benefits paid to rcs","predicted total sa benefits paid to rcs","predicted percentage of sa paid to rcs"
"year","2011 constant dollars","2011 constant dollars","percent","2011 constant dollars","percent"
"1999","12,720,599,370","236,875,624","1.9","355,145,983","2.8"
"2000","11,717,799,462","257,300,460","2.2","381,388,639","3.3"
"2001","11,111,833,301","302,774,927","2.7","432,057,737","3.9"
"2002","10,604,219,149","337,936,280","3.2","461,719,590","4.4"
"2003","10,251,014,042","323,237,824","3.2","442,453,451","4.3"
"2004","10,255,760,310","284,246,731","2.8","392,020,556","3.8"
"2005","10,268,147,571","240,181,185","2.3","331,527,714","3.2"
"2006","10,274,813,861","205,056,435","2.0","287,171,965","2.8"
"2007","10,422,332,544","201,605,857","1.9","283,756,988","2.7"
"2008","10,553,340,967","242,407,509","2.3","344,977,223","3.3"
"2009","11,624,450,454","324,633,550","2.8","443,310,191","3.8"
"2010","12,066,912,323","319,008,634","2.6","429,676,580","3.6"
"2011","12,192,859,489","290,680,087","2.4","397,842,359","3.3"
