"","","nursing home","nursing home","nursing home","seniors' residence","seniors' residence","seniors' residence","private dwelling with additional family","private dwelling with additional family","private dwelling with additional family"
"","","odds ratio","95% confidence interval","95% confidence interval","odds ratio","95% confidence interval","95% confidence interval","odds ratio","95% confidence interval","95% confidence interval"
"","","odds ratio","from","to","odds ratio","from","to","odds ratio","from","to"
"age group at census day","60 to 69","0.1","0.1","0.2","0.1","0.1","0.3","1.6","1.4","1.9"
"age group at census day","70 to 74","0.3","0.2","0.5","0.5","0.3","0.9","1.3","1.1","1.6"
"age group at census day","75 to 79","1.0","","","1.0","","","1.0","",""
"age group at census day","80 to 84","1.9","1.3","2.8","2.2","1.5","3.1","1.0","0.8","1.2"
"age group at census day","85 to 89","4.0","2.9","5.7","4.7","3.3","6.7","1.0","0.8","1.3"
"age group at census day","90 and older","8.0","5.5","11.5","7.1","4.8","10.4","1.0","0.7","1.3"
"marital status, cchs & census","remained married","1.0","","","1.0","","","1.0","",""
"marital status, cchs & census","loss of spouse","4.3","2.8","6.5","4.2","2.8","6.3","1.2","0.9","1.6"
"marital status, cchs & census","not married at cchs","2.0","1.3","3.1","1.2","0.8","2.1","0.5","0.3","0.7"
"living alone","living with others","1.0","","","1.0","","","1.0","",""
"living alone","living alone","1.5","1.1","2.0","2.6","1.7","3.8","8.3","5.6","12.1"
"dwelling owned by a household member","yes","1.0","","","1.0","","","1.0","",""
"dwelling owned by a household member","no","2.1","1.7","2.5","2.6","2.1","3.2","0.9","0.8","1.0"
"self-perceived general health","excellent","1.0","","","1.0","","","1.0","",""
"self-perceived general health","very good","0.7","0.5","1.0","1.4","1.0","2.0","0.8","0.7","1.0"
"self-perceived general health","good","1.0","0.7","1.4","1.4","0.9","2.0","0.9","0.7","1.1"
"self-perceived general health","fair","1.2","0.9","1.8","2.0","1.3","3.0","0.9","0.7","1.1"
"self-perceived general health","poor","2.0","1.3","3.3","1.4","0.8","2.4","0.9","0.6","1.4"
"self-perceived mental health","excellent","1.0","","","1.0","","","1.0","",""
"self-perceived mental health","very good","1.4","1.1","1.8","1.0","0.8","1.3","1.0","0.9","1.2"
"self-perceived mental health","good","1.5","1.1","2.0","1.1","0.8","1.4","1.2","1.0","1.4"
"self-perceived mental health","fair","2.0","1.2","3.4","1.2","0.7","1.9","1.3","0.9","1.9"
"self-perceived mental health","poor","2.7","0.9","8.6","0.6","0.2","2.1","1.4","0.7","2.6"
"self-perceived mental health","missing","2.3","1.0","5.3","1.0","0.3","3.5","0.7","0.2","2.0"
"province","atlantic provinces","1.1","0.9","1.5","0.7","0.5","1.1","1.0","0.9","1.2"
"province","quebec","0.7","0.5","0.9","2.3","1.7","3.1","0.9","0.7","1.0"
"province","ontario","1.0","","","1.0","","","1.0","",""
"province","manitoba","0.8","0.5","1.2","0.8","0.5","1.4","0.8","0.6","1.1"
"province","saskatchewan","1.0","0.8","1.4","0.5","0.3","0.9","0.8","0.7","1.0"
"province","alberta","1.4","0.9","2.2","3.0","2.1","4.4","0.9","0.7","1.1"
"province","british columbia","1.2","0.9","1.6","1.2","0.9","1.7","1.1","0.9","1.3"
"immigrant status","canadian-born","1.0","","","1.0","","","1.0","",""
"immigrant status","immigrant","0.7","0.5","0.9","0.7","0.5","0.9","1.1","1.0","1.3"
"chronic conditions","diabetes","1.5","1.1","2.1","1.4","1.1","1.9","1.1","0.9","1.4"
"chronic conditions","high blood pressure","0.8","0.6","1.0","1.1","0.9","1.3","1.1","0.9","1.2"
"chronic conditions","urinary incontinence","1.3","1.1","1.7","1.3","1.0","1.7","0.9","0.8","1.1"
"chronic conditions","dementia","6.7","3.6","12.4","4.4","1.2","15.5","1.4","0.7","2.8"
"chronic conditions","mood disorder","1.7","1.1","2.5","1.8","1.2","2.7","1.0","0.8","1.3"
"overnight patient in a hospital, nursing home or convalescent home in past year","no","1.0","","","1.0","","","1.0","",""
"overnight patient in a hospital, nursing home or convalescent home in past year","yes","1.8","1.4","2.3","1.2","0.9","1.6","0.9","0.8","1.1"
"bmi group","underweight","1.4","0.9","2.1","1.7","1.0","2.8","1.2","0.8","1.6"
"bmi group","acceptable weight","1.0","","","1.0","","","1.0","",""
"bmi group","overweight","0.7","0.6","0.9","0.9","0.7","1.1","1.0","0.9","1.1"
"bmi group","obese","0.6","0.4","0.8","0.9","0.7","1.3","0.9","0.8","1.1"
"bmi group","missing","1.2","0.7","2.1","0.9","0.4","1.9","0.6","0.4","0.9"
"year of interview","2005/2006","1.6","1.2","2.1","1.0","0.9","1.5","1.1","1.0","1.3"
"year of interview","2007","1.0","","","1.0","","","1.0","",""
"year of interview","2008","0.7","0.5","1.0","1.1","0.8","1.5","1.0","0.8","1.2"
"year of interview","2009","0.5","0.4","0.7","0.4","0.3","0.6","1.0","0.8","1.2"
