"year","team","games","games","receiving","receiving","receiving","receiving","fumbles","fumbles"
"year","team","g","gs","rec","yards","avg","td","fum","lost"
"2007","sd","1","0","0","0","0.0","0","0","0"
"2009","nyg","0","0","0","0","0.0","0","0","0"
"2010","sd","9","0","0","0","0.0","0","0","0"
"2010","buf","4","1","1","8","8.0","0","0","0"
"2011","buf","14","9","38","389","10.2","6","1","1"
"2012","buf","15","13","43","571","13.3","6","2","1"
"2013","buf","16","7","53","655","12.4","2","1","1"
"2014","buf","16","5","47","497","10.6","3","0","0"
"2015","ne","15","4","23","259","11.3","4","0","0"
"career","career","90","39","205","2,379","11.6","21","4","3"
