"year","n.l","p.e.i","n.s","n.b","que","ont","man","sask","alta","b.c","y.t","n.w.t","nvt","canada"
"year","number of children per woman","number of children per woman","number of children per woman","number of children per woman","number of children per woman","number of children per woman","number of children per woman","number of children per woman","number of children per woman","number of children per woman","number of children per woman","number of children per woman","number of children per woman","number of children per woman"
"2006","1.41","1.65","1.40","1.48","1.65","1.55","1.89","1.91","1.81","1.47","1.61","2.01","2.82","1.61"
"2007","1.44","1.64","1.49","1.53","1.68","1.58","1.96","2.03","1.89","1.52","1.56","2.11","2.95","1.66"
"2008","1.55","1.74","1.55","1.60","1.73","1.60","1.96","2.05","1.90","1.52","1.62","2.08","2.93","1.69"
"2009","1.55","1.71","1.52","1.61","1.73","1.59","1.99","2.07","1.86","1.51","1.62","2.05","3.16","1.68"
"2010","1.53","1.65","1.51","1.61","1.70","1.56","1.93","2.03","1.80","1.45","1.56","1.99","2.90","1.64"
"2011","1.40","1.66","1.51","1.57","1.68","1.55","1.88","1.98","1.77","1.45","1.67","1.96","2.85","1.62"
"2012","1.37","1.52","1.50","1.57","1.67","1.55","1.93","2.00","1.77","1.43","1.69","1.94","2.85","1.62"
"2013","1.43","1.63","1.46","1.57","1.65","1.51","1.91","1.94","1.73","1.41","1.54","1.88","3.04","1.59"
"2014","1.45","1.65","1.49","1.60","1.63","1.50","1.89","2.00","1.74","1.41","1.55","1.87","2.97","1.58"
"2015","1.43","1.56","1.43","1.54","1.61","1.48","1.88","1.94","1.75","1.39","1.67","1.90","2.81","1.56"
"2016","1.42","1.58","1.42","1.55","1.59","1.46","1.85","1.93","1.69","1.40","1.62","1.79","2.99","1.54"
