"sex, ethnicity, race, and citizenship","total","in labor force","in labor force","in labor force","in labor force","in labor force","not in labor force","not in labor force","not in labor force"
"sex, ethnicity, race, and citizenship","total","all","working for pay or profit","working for pay or profit","working for pay or profit","unemployeda","all","retired","not working, not seeking work"
"sex, ethnicity, race, and citizenship","total","all","all working","full time","part time","unemployeda","all","retired","not working, not seeking work"
"all u.s. seh doctorate holders","805500","88.1","86","76.1","9.9","2.1","11.9","10","1.9"
"sex","","","","","","","","",""
"male","551700","87.7","85.7","77.9","7.8","2","12.3","11.5","0.8"
"female","253700","88.9","86.8","72.4","14.4","2.1","11.1","6.7","4.3"
"ethnicity and race","","","","","","","","",""
"hispanic or latino","25800","93","91.1","81.8","8.9","1.9","7","5","1.9"
"not hispanic or latino","779700","87.9","85.9","76","9.9","2.1","12.1","10.2","1.9"
"american indian or alaska native","1700","88.2","88.2","76.5","11.8","d","5.9","d","d"
"asian","147500","93.6","91.3","86.4","4.7","2.3","6.4","4.7","1.7"
"black or african american","24500","93.9","91","80.4","11","2.4","6.1","4.9","1.2"
"native hawaiian or other pacific islander","900","88.9","88.9","77.8","11.1","d","11.1","d","11.1"
"white","596300","86.2","84.2","73.1","11.1","2","13.8","11.8","1.9"
"more than one race","8800","93.2","89.8","79.5","10.2","2.3","6.8","4.5","2.3"
"citizenship","","","","","","","","",""
"u.s. citizen or permanent resident","775300","87.7","85.6","75.4","10.2","2.1","12.3","10.4","1.9"
"temporary visa holder","30200","98.3","97.4","95.4","2","1","1.7","d","1.3"
