"year","team","games","games","tackles","tackles","tackles","tackles","fumbles","fumbles","fumbles","int","int"
"year","team","g","gs","comb","total","ast","sack","ff","fr","yds","int","pd"
"2006","kc","16","16","58","41","17","8.0","5","1","0","1","4"
"2007","kc","16","16","58","46","12","7.5","2","0","0","0","2"
"2008","kc","15","15","54","43","11","3.0","3","1","0","0","2"
"2009","kc","16","16","62","46","16","8.5","4","0","0","0","1"
"2010","kc","16","16","51","36","15","14.5","4","2","2","0","3"
"2011","kc","16","16","66","48","18","12.0","4","0","0","0","0"
"2012","kc","15","15","54","43","11","9.0","1","0","0","0","2"
"2013","kc","15","15","46","39","7","11.0","5","2","11","1","1"
"2014","kc","16","16","59","47","12","6.0","3","1","0","0","0"
"2015","kc","15","14","45","36","9","6.5","2","0","0","0","0"
"2016","kc","16","2","34","24","10","3.5","0","1","0","0","0"
"2017","kc","5","0","1","1","0","0.0","0","0","0","0","0"
"career","career","175","158","588","453","135","89.5","33","8","13","2","16"
