"club","season","league","league","league","fa cup","fa cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"stoke city","1929-30","second division","9","1","0","0","9","1"
"stoke city","1930-31","second division","20","1","3","0","23","1"
"stoke city","1931-32","second division","38","1","5","0","43","1"
"stoke city","1932-33","second division","39","0","1","0","40","0"
"stoke city","1933-34","first division","11","0","0","0","11","0"
"stoke city","total","total","117","3","9","0","126","3"
"manchester united","1933-34","second division","10","0","0","0","10","0"
"manchester united","1934-35","second division","36","1","3","0","39","1"
"manchester united","1935-36","second division","1","0","0","0","1","0"
"manchester united","total","total","47","1","3","0","50","1"
"reading","1935-36","third division south","7","0","0","0","7","0"
"reading","1936-37","third division south","17","0","0","0","17","0"
"reading","total","total","24","0","0","0","24","0"
"career total","career total","career total","188","4","12","0","200","4"
