"year","title","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","record label"
"year","title","us","us r&b","aus","can","ger","nl","nor","nz","swe","uk","certifications","record label"
"1974","lady of the night","-","-","-","-","-","-","-","-","-","-","none","groovy"
"1975","love to love you baby","11","6","7","16","23","-","9","-","7","16","us: gold uk: gold","casablanca"
"1976","a love trilogy","21","16","32","6","24","-","14","-","18","41","us: gold uk: gold","casablanca"
"1976","four seasons of love","29","13","-","16","31","-","-","-","40","-","us: gold uk: silver","casablanca"
"1977","i remember yesterday","18","11","4","15","7","6","5","12","13","3","us: gold uk: gold","casablanca"
"1977","once upon a time..","26","13","44","27","-","-","9","-","-","24","us: gold can: gold uk: gold","casablanca"
"1979","bad girls","1","1","6","1","7","24","3","3","3","23","us: 2× platinum can: 2× platinum uk: gold","casablanca"
"1980","the wanderer","13","12","18","-","54","-","18","16","15","55","us: gold","geffen"
"1981","i'm a rainbow","-","-","-","-","-","-","-","-","-","-","none","mercury"
"1982","donna summer","20","6","45","32","37","4","3","-","2","13","us: gold","geffen"
"1983","she works hard for the money","9","5","21","23","14","9","12","47","8","28","us: gold can: gold","mercury"
"1984","cats without claws","40","24","91","84","39","19","15","-","10","69","none","geffen"
"1987","all systems go","122","53","-","-","-","72","-","-","27","-","none","geffen"
"1989","another place and time","53","71","93","60","49","29","-","-","16","17","uk: gold","atlantic"
"1991","mistaken identity","-","97","-","-","-","-","-","-","-","-","none","atlantic"
"1994","christmas spirit","-","-","-","-","-","-","-","-","-","-","none","mercury"
"2008","crayons","17","5","-","-","73","-","-","-","-","142","none","burgundy"
