"field of doctorate","all employed","employment sector","employment sector","employment sector","employment sector","employment sector","employment sector","employment sector"
"field of doctorate","all employed","4-year educational institutiona","private for-profitb","private non-profit","federal government","state or local government","self-employedc","otherd"
"all seh fields","692900","289400","223900","45100","48700","17300","41700","26800"
"biological, agricultural, and environmental life sciences","175700","83500","46400","14200","15600","4100","5700","6200"
"computer and information sciences","19000","7400","9400","700","600","100","500","300"
"mathematics and statistics","32000","18100","9000","1300","1300","300","700","1300"
"physical sciences","120100","42500","49800","6300","9700","2300","4500","5000"
"psychology","102400","34100","20700","9800","6000","5200","20200","6400"
"social sciences","87000","54000","10900","5400","5100","2400","4300","4900"
"engineering","125500","33000","71400","4400","8200","2300","4500","1600"
"health","31200","16800","6200","3000","2300","700","1100","1100"
