"club","league","season","league","league","cup","cup","continental","continental","other","other","total","total"
"club","league","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"olimpia","primera division","2009","12","1","0","0","0","0","0","0","12","1"
"olimpia","primera division","2010","4","0","0","0","0","0","0","0","4","0"
"olimpia","total","total","16","1","0","0","0","0","0","0","16","1"
"verona","lega pro","2010-11","15","1","0","0","0","0","0","0","15","1"
"newell's old boys","primera division","2011-12","32","3","0","0","0","0","0","0","32","3"
"newell's old boys","primera division","2012-13","34","1","1","0","12","0","0","0","47","1"
"newell's old boys","total","total","66","4","1","0","12","0","0","0","79","4"
"estudiantes","primera division","2013-14","17","1","1","0","0","0","0","0","18","1"
"sunderland","premier league","2013-14","11","0","3","0","0","0","0","0","14","0"
"sunderland","premier league","2014-15","31","0","4","0","0","0","2","0","37","0"
"sunderland","total","total","42","0","7","0","0","0","2","0","51","0"
"getafe","la liga","2015-16","25","0","2","1","0","0","0","0","27","1"
"boca juniors","primera division","2016-17","28","0","0","0","0","0","0","0","28","0"
"boca juniors","primera division","2017-18","8","0","0","0","5","0","0","0","13","0"
"boca juniors","total","total","36","0","0","0","5","0","0","0","41","1"
"bursaspor","super lig","2018-19","6","0","1","0","0","0","0","0","7","0"
"career total","career total","career total","223","7","12","1","17","0","2","0","254","8"
