"year","information","chart positions","chart positions","chart positions","chart positions"
"year","information","us","us heat","us ind","uk"
"1989","workbook label: virgin released: april 1989","127","-","-","-"
"1990","black sheets of rain label: virgin released: may 1990","123","-","-","-"
"1996","bob mould labels: creation, rykodisc released: april 30, 1996","101","1","-","52"
"1998","the last dog and pony show labels: creation, rykodisc released: august 25, 1998","164","11","-","58"
"2002","modulate labels: cooking vinyl, granary music released: march 12, 2002","-","45","18","-"
"2002","long playing grooves (as 'loudbomb') labels: cooking vinyl, granary music released: 2002","-","-","-","-"
"2005","body of song labels: cooking vinyl, yep roc released: july 12, 2005","-","22","37","-"
"2006","blowoff (with 'blowoff') label: full frequency music released: september 5, 2006","-","-","-","-"
"2008","district line labels: anti-, beggars banquet released: february 5, 2008","191","5","24","-"
"2009","life and times label: anti- released: april 7, 2009","-","7","-","-"
"2012","silver age labels: edsel, merge released: september 4, 2012","52","-","13","-"
"2014","beauty & ruin label: merge released: june 3, 2014","38","-","5","96"
"2016","patch the sky label: merge released: march 25, 2016","82","-","6","54"
"2019","sunshine rock label: merge released: february 8, 2019","192","-","-","-"
