"year","team","games","games","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing","rushing"
"year","team","g","gs","comp","att","yards","td","int","rtg","att","yards","avg","td"
"1983","den","11","10","123","259","1,663","7","14","54.9","28","146","5.2","1"
"1984","den","15","14","214","380","2,598","18","15","76.8","56","237","4.2","1"
"1985","den","16","16","327","605","3,891","22","23","70.2","51","253","5.0","0"
"1986","den","16","16","280","504","3,485","19","13","79.0","52","257","4.9","1"
"1987","den","12","12","224","410","3,198","19","12","83.4","66","304","4.6","4"
"1988","den","15","15","274","496","3,309","17","19","71.4","54","234","4.3","1"
"1989","den","15","15","223","416","3,051","18","18","73.7","48","244","5.1","3"
"1990","den","16","16","294","502","3,526","15","14","78.5","50","258","5.2","3"
"1991","den","16","16","242","451","3,253","13","12","75.4","55","255","4.6","6"
"1992","den","12","12","174","316","2,242","10","17","65.7","34","94","2.8","2"
"1993","den","16","16","348","551","4,030","25","10","92.8","44","153","3.5","0"
"1994","den","14","14","307","494","3,490","16","10","85.7","58","235","4.1","4"
"1995","den","16","16","316","542","3,970","26","14","86.4","41","176","4.3","1"
"1996","den","15","15","287","466","3,328","26","14","89.2","50","249","5.0","4"
"1997","den","16","16","280","502","3,635","27","11","87.5","50","218","4.4","1"
"1998","den","13","12","210","356","2,806","22","10","93.0","37","94","2.5","1"
"career","career","234","231","4,123","7,250","51,475","300","226","79.9","774","3,407","4.4","33"
