"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"bayelsa united","2006","nigeria premier league","19","6","0","0","-","-","19","6","none","none"
"bayelsa united","total","total","19","6","0","0","-","-","19","6","none","none"
"ocean boys","2006","nigeria premier league","5","1","0","0","-","-","5","1","none","none"
"ocean boys","2007","nigeria premier league","8","9","0","0","-","-","8","9","none","none"
"ocean boys","total","total","13","10","0","0","-","-","13","10","none","none"
"neuchatel xamax","2007-08","swiss super league","5","1","0","0","-","-","5","1","none","none"
"neuchatel xamax","2008-09","swiss super league","33","10","1","0","-","-","34","10","none","none"
"neuchatel xamax","2009-10","swiss super league","17","12","0","0","-","-","17","12","none","none"
"neuchatel xamax","total","total","55","23","1","0","-","-","56","23","none","none"
"sochaux","2009-10","ligue 1","17","2","3","3","0","0","-","-","20","5"
"sochaux","2010-11","ligue 1","35","15","3","2","0","0","-","-","38","17"
"sochaux","total","total","52","17","6","5","0","0","-","-","58","22"
"dynamo kyiv","2011-12","ukrainian premier league","27","12","0","0","-","-","10","2","37","14"
"dynamo kyiv","2012-13","ukrainian premier league","28","17","1","0","-","-","11","4","39","21"
"dynamo kyiv","2013-14","ukrainian premier league","19","5","3","3","-","-","7","2","37","10"
"dynamo kyiv","total","total","74","34","4","3","-","-","28","8","106","45"
"west bromwich albion","2014-15","premier league","24","4","3","2","3","1","-","-","30","7"
"west bromwich albion","2015-16","premier league","0","0","0","0","1","0","-","-","1","0"
"west bromwich albion","total","total","24","4","3","2","4","1","-","-","31","7"
"olympiacos","2015-16","super league","23","10","4","2","0","0","8","1","35","13"
"olympiacos","2016-17","super league","20","13","2","1","0","0","8","1","30","15"
"olympiacos","total","total","43","23","6","3","0","0","16","2","65","28"
"tianjin teda","2017","chinese super league","14","4","0","0","0","0","0","0","14","4"
"tianjin teda","total","total","14","4","0","0","0","0","0","0","14","4"
"career total","career total","career total","294","121","20","13","4","1","44","10","362","145"
