"","in total t4 earners","in total t4 earners","in total t4 earners","in total t4 earnings","in total t4 earnings","in total t4 earnings"
"","owp holders","high-skill eswp holders","low-skill eswp holders","owp holders","high-skill eswp holders","low-skill eswp holders"
"","percent","percent","percent","percent","percent","percent"
"canada","","","","","",""
"2006","0.5","0.2","0.3","0.1","0.4","0.1"
"2016","1.2","0.3","0.3","0.6","0.6","0.1"
"newfoundland and labrador","","","","","",""
"2006","0.1","0.1","0.0","0.0","0.5","0.0"
"2016","0.4","0.4","0.1","0.2","1.4","0.0"
"prince edward island","","","","","",""
"2006","0.1","0.1","0.1","0.0","0.1","0.1"
"2016","0.5","0.1","0.9","0.3","0.3","0.5"
"nova scotia","","","","","",""
"2006","0.2","0.1","0.1","0.1","0.2","0.0"
"2016","0.7","0.2","0.3","0.4","0.3","0.1"
"new brunswick","","","","","",""
"2006","0.2","0.1","0.0","0.1","0.1","0.0"
"2016","0.4","0.1","0.3","0.2","0.1","0.2"
"quebec","","","","","",""
"2006","0.3","0.1","0.1","0.1","0.3","0.0"
"2016","0.7","0.3","0.3","0.3","0.5","0.1"
"ontario","","","","","",""
"2006","0.6","0.2","0.4","0.2","0.5","0.1"
"2016","1.3","0.3","0.4","0.6","0.7","0.1"
"manitoba","","","","","",""
"2006","0.2","0.1","0.2","0.1","0.2","0.1"
"2016","0.9","0.2","0.2","0.5","0.4","0.1"
"saskatchewan","","","","","",""
"2006","0.2","0.1","0.1","0.1","0.2","0.0"
"2016","0.8","0.4","0.2","0.4","0.4","0.1"
"alberta","","","","","",""
"2006","0.5","0.3","0.3","0.1","0.5","0.1"
"2016","1.3","0.4","0.4","0.6","0.7","0.2"
"british columbia","","","","","",""
"2006","0.8","0.3","0.3","0.2","0.5","0.1"
"2016","2.2","0.4","0.4","0.9","0.7","0.2"
"territories","","","","","",""
"2006","0.3","0.3","0.1","0.1","0.5","0.0"
"2016","0.8","0.1","0.2","0.4","0.2","0.1"
