"no","pos","nat","player","total","total","league one","league one","fa cup","fa cup","efl cup","efl cup","efl trophy","efl trophy"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"1","gk","england","mark oxley","18","0","16","0","0","0","0","0","2","0"
"2","df","scotland","stephen hendrie","10","0","6+2","0","0","0","1","0","1+0","0"
"3","df","england","ben coker","0","0","0","0","0","0","0","0","0","0"
"4","mf","england","anthony wordsworth","9","3","9","3","0","0","0","0","0","0"
"5","df","england","anton ferdinand","14","0","13","0","0","0","0","0","1","0"
"6","df","england","michael turner","0","0","0","0","0","0","0","0","0","0"
"7","mf","england","michael kightly","8","2","8","2","0","0","0","0","0","0"
"8","df","republic of ireland","michael timlin","18","0","16","0","0","0","0+1","0","1","0"
"9","fw","france","marc-antoine fortune","14","1","9+3","1","0","0","0+1","0","1","0"
"10","fw","republic of ireland","simon cox","18","4","14+2","4","0","0","1","0","0+1","0"
"11","mf","england","stephen mclaughlin","18","2","8+7","1","0+0","0","1","0","1+1","1"
"12","fw","france","amadou ba","3","0","0","0","0","0","0+1","0","1+1","0"
"13","gk","england","nathan bishop","0","0","0","0","0","0","0","0","0","0"
"14","fw","england","nico cotton","1","0","0","0","0","0","0","0","0+1","0"
"15","df","republic of ireland","rob kiernan","2","0","0+1","0","0","0","1","0","0","0"
"16","mf","england","dru yearwood","8","0","4+1","0","0","0","1","0","2","0"
"17","mf","england","jermaine mcglashan","15","1","8+4","1","0","0","1","0","2","0"
"18","mf","england","ryan leonard","18","3","16","3","0","0","1","0","1","0"
"19","mf","england","jack bridge","2","0","0+1","0","0","0","0","0","1","0"
"20","mf","england","michael klass","2","0","0","0","0","0","0","0","1+1","0"
"22","gk","england","ted smith","1","0","0","0","0","0","1","0","0","0"
"23","mf","england","joe bedford","0","0","0","0","0","0","0","0","0","0"
"24","df","cyprus","jason demetriou","15","2","13+1","2","0","0","1","0","0","0"
"27","df","cyprus","harry kyprianou","9","0","7","0","0","0","0","0","1+1","0"
"31","fw","jamaica","theo robinson","17","1","1+13","0","0","0","1","0","2","1"
"42","df","england","elvis bwomono","6","0","4","0","0","0","0","0","2+0","0"
"44","mf","england","josh wright","8","0","8","0","0","0","0","0","0","0"
"48","df","england","john white","15","1","9+3","1","0","0","1","0","2","0"
"50","fw","england","nile ranger","11","1","7+4","1","0","0","0","0","0","0"
