"team","year","national league","national league","national league","munster","munster","all-ireland","all-ireland","total","total"
"team","year","division","apps","score","apps","score","apps","score","apps","score"
"limerick","2009","division 1","4","0-01","1","0-00","0","0-00","5","0-01"
"limerick","2010","division 1","7","2-07","1","0-03","1","0-01","9","2-11"
"limerick","2011","division 2","4","1-01","1","0-01","2","1-04","7","2-06"
"limerick","2012","division 1b","6","0-14","1","1-02","4","2-11","11","3-27"
"limerick","2013","division 1b","6","1-11","2","0-02","1","0-01","9","1-14"
"limerick","2014","division 1b","5","3-05","2","0-04","2","0-05","9","3-14"
"limerick","2015","division 1b","1","0-04","2","1-03","2","0-04","5","1-11"
"limerick","2016","division 1b","6","2-04","1","0-00","2","1-00","9","3-04"
"limerick","2017","division 1b","6","1-06","1","0-00","0","0-00","7","1-06"
"limerick","2018","division 1b","3","2-04","4","1-06","4","2-10","11","5-20"
"limerick","2019","division 1a","6","1-07","0","0-00","0","0-00","6","1-07"
"career total","career total","career total","54","13-64","16","3-21","18","6-36","88","22-121"
