"year","song","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","album"
"year","song","us","us alt","us adult","aus","ita","nld","nzl","uk","album"
"2001","flavor of the weak","41","5","35","64","48","93","46","31","american hi-fi"
"2001","another perfect day","-","33","-","-","-","-","-","-","american hi-fi"
"2003","the art of losing","-","33","-","-","-","-","-","75","the art of losing"
"2003","the breakup song","-","-","-","-","-","-","-","-","the art of losing"
"2004","the geeks get the girls","-","-","-","-","-","-","-","-","hearts on parade"
"2005","hell yeah!","-","-","-","-","-","-","-","-","hearts on parade"
"2006","the rescue","-","-","-","-","-","-","-","-","sound of superman"
"2010","lost","-","-","-","-","-","-","-","-","fight the frequency"
"2014","allison","-","-","-","-","-","-","-","-","blood & lemonade"
""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart"
