"club","season","league","league","league","cup","cup","continental","continental","other 1","other 1","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"dinamo tbilisi","2006-07","umaglesi liga","11","2","","","","","","","11","2"
"dinamo tbilisi","2007-08","umaglesi liga","15","1","","","","","","","15","1"
"dinamo tbilisi","2008-09","umaglesi liga","29","1","","","3","0","","","32","1"
"dinamo tbilisi","2009-10","umaglesi liga","33","8","6","1","4","1","","","43","10"
"dinamo tbilisi","2010-11","umaglesi liga","3","0","","","4","0","","","7","0"
"dinamo tbilisi","total","total","91","12","6","1","11","1","0","0","108","14"
"vitesse arnhem","2010-11","eredivisie","28","3","3","0","0","0","0","0","31","3"
"vitesse arnhem","2011-12","eredivisie","32","3","3","0","0","0","4","0","39","3"
"vitesse arnhem","2012-13","eredivisie","33","2","4","0","4","0","0","0","41","2"
"vitesse arnhem","2013-14","eredivisie","32","2","2","1","2","0","1","0","37","3"
"vitesse arnhem","2014-15","eredivisie","26","1","2","0","0","0","4","1","32","2"
"vitesse arnhem","2015-16","eredivisie","27","5","1","0","2","0","0","0","30","5"
"vitesse arnhem","2016-17","eredivisie","34","1","5","1","0","0","0","0","39","2"
"vitesse arnhem","2017-18","eredivisie","32","3","0","0","6","0","5","1","43","4"
"vitesse arnhem","total","total","244","20","20","2","14","0","14","2","292","24"
"career total","career total","career total","335","32","26","3","25","1","14","2","400","38"
