"year","title","platform(s)","platform(s)","platform(s)","platform(s)","platform(s)","platform(s)","platform(s)","platform(s)","platform(s)","platform(s)","platform(s)","publisher(s)"
"year","title","ps2","ps3","ps4","lin","mac","win","xbox","x360","xone","ios","and","publisher(s)"
"2006","just cause","yes","no","no","no","no","yes","yes","yes","no","no","no","eidos interactive"
"2009","thehunter","no","no","no","no","no","yes","no","no","no","no","no","emote games"
"2010","just cause 2","no","yes","no","no","no","yes","no","yes","no","no","no","eidos interactive"
"2011","renegade ops","no","yes","no","no","no","yes","no","yes","no","no","no","sega"
"2015","thehunter: primal","no","no","no","no","no","yes","no","no","no","no","no","expansive worlds, avalanche studios"
"2015","rumble city","no","no","no","no","no","no","no","no","no","yes","yes","avalanche studios"
"2015","mad max","no","no","yes","yes","yes","yes","no","no","yes","no","no","warner bros. interactive entertainment"
"2015","just cause 3","no","no","yes","no","no","yes","no","no","yes","no","no","square enix"
"2017","thehunter: call of the wild","no","no","yes","no","no","yes","no","no","yes","no","no","avalanche studios"
"2018","just cause 4","no","no","yes","no","no","yes","no","no","yes","no","no","square enix"
"2019","rage 2","no","no","yes","no","no","yes","no","no","yes","no","no","bethesda softworks"
"2019","generation zero","no","no","yes","no","no","yes","no","no","yes","no","no","avalanche studios"
