"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"argentinos juniors","2015","argentine primera division","2","0","0","0","-","-","1","0","3","0"
"argentinos juniors","2016","argentine primera division","5","0","0","0","-","-","0","0","5","0"
"argentinos juniors","2016-17","argentine primera division","0","0","1","0","-","-","0","0","1","0"
"argentinos juniors","2017-18","argentine primera division","0","0","0","0","-","-","0","0","0","0"
"argentinos juniors","2018-19","argentine primera division","0","0","0","0","-","-","0","0","0","0"
"argentinos juniors","total","total","7","0","1","0","-","-","1","0","9","0"
"estudiantes","2016-17","primera b metropolitana","4","0","1","0","-","-","3","0","8","0"
"estudiantes","2017-18","primera b metropolitana","4","0","0","0","-","-","0","0","4","0"
"estudiantes","total","total","8","0","1","0","-","-","3","0","12","0"
"deportivo capiata","2018","paraguayan primera division","1","0","0","0","-","-","0","0","1","0"
"career total","career total","career total","16","0","2","0","-","-","4","0","22","0"
