"year","source region","source region","source region","source region","source region","source region","source region","source region","source region"
"year","english-speaking","western europe","eastern europe","north africa and the middle east","africa","india","china","latin america","southeast asia"
"year","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"2001","16.2","9.0","6.2","12.6","0.5","7.4","25.3","3.0","19.2"
"2002","13.9","7.3","6.4","15.3","0.7","8.7","24.8","2.7","19.5"
"2003","12.5","6.5","6.6","16.5","0.8","10.3","24.3","3.1","18.8"
"2004","12.2","6.2","7.9","16.1","0.8","12.5","23.6","3.3","16.8"
"2005","11.1","6.0","9.1","15.2","1.0","14.8","23.2","3.4","15.8"
"2006","10.6","5.4","9.2","15.6","1.1","17.3","22.5","3.2","14.7"
"2007","10.1","5.1","9.3","15.3","1.3","20.3","21.9","2.9","13.2"
"2008","9.8","4.6","9.9","15.4","1.3","22.4","20.8","3.3","12.1"
"2009","9.4","4.6","10.5","15.8","1.2","23.2","20.3","3.0","11.6"
"2010","9.0","4.3","11.1","16.2","1.4","23.2","19.7","3.4","11.3"
