"england","first innings","first innings","second innings","second innings"
"batsman","method of dismissal","runs","method of dismissal","runs"
"c. washbrook","b johnston","11","not out","85"
"g. m. emmett","c barnes b lindwall","10","c tallon b lindwall","0"
"w. j. edrich","c tallon b lindwall","32","run out","53"
"d. c. s. compton","not out","145","c miller b toshack","0"
"j. f. crapp","lbw b lindwall","37","not out","19"
"h. e. dollery","b johnston","1","",""
"* n. w. d. yardley","c johnson b toshack","22","",""
"+ t. g. evans","c johnston b lindwall","34","",""
"a. v. bedser","run out","37","",""
"r. pollard","b toshack","3","",""
"j. a. young","c bradman b johnston","4","",""
"extras","","27","","17"
"total","(171.5 overs)","363","(69 overs)","174/3d"
