"year","immigrant class","immigrant class","immigrant class","immigrant class","immigrant class"
"year","family class","economic class","business class","refugees","other"
"year","share","share","share","share","share"
"2001","0.006","0.009","0.099","0.002","0.002"
"2002","0.008","0.015","0.132","0.003","0.003"
"2003","0.010","0.019","0.121","0.005","0.005"
"2004","0.015","0.025","0.110","0.007","0.006"
"2005","0.020","0.032","0.104","0.009","0.006"
"2006","0.023","0.039","0.100","0.012","0.008"
"2007","0.031","0.046","0.101","0.016","0.009"
"2008","0.038","0.052","0.097","0.019","0.014"
"2009","0.042","0.056","0.093","0.022","0.013"
"2010","0.047","0.061","0.095","0.026","0.012"
