"club","season","league","league","league","fa cup","fa cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"aston villa","1997-98","premier league","2","0","0","0","0","0","0","0","-","-","2","0"
"aston villa","1998-99","premier league","32","2","2","0","0","0","3","0","-","-","37","2"
"aston villa","1999-2000","premier league","30","1","6","0","8","0","-","-","44","1","none","none"
"aston villa","2000-01","premier league","30","0","3","0","1","0","4","1","-","-","38","1"
"aston villa","2001-02","premier league","20","0","1","0","0","0","7","0","-","-","28","0"
"aston villa","2002-03","premier league","35","3","1","0","4","1","4","0","-","-","44","4"
"aston villa","2003-04","premier league","36","3","1","1","6","0","-","-","43","4","none","none"
"aston villa","2004-05","premier league","34","7","1","1","1","0","-","-","36","8","none","none"
"aston villa","2005-06","premier league","36","3","3","1","3","2","-","-","42","6","none","none"
"aston villa","2006-07","premier league","35","8","1","0","3","1","-","-","39","9","none","none"
"aston villa","2007-08","premier league","37","9","1","0","2","0","-","-","40","9","none","none"
"aston villa","2008-09","premier league","38","5","1","0","1","0","8","3","-","-","48","8"
"aston villa","total","total","365","41","21","3","29","4","26","4","-","-","441","52"
"manchester city","2009-10","premier league","34","2","3","0","6","1","-","-","43","3","none","none"
"manchester city","2010-11","premier league","33","2","7","0","0","0","7","0","-","-","47","2"
"manchester city","2011-12","premier league","34","1","0","0","2","0","7","0","1","0","44","1"
"manchester city","2012-13","premier league","31","1","5","1","1","0","4","0","0","0","41","2"
"manchester city","total","total","132","6","15","1","9","1","18","0","1","0","175","8"
"everton","2013-14","premier league","32","3","4","0","1","0","-","-","37","3","none","none"
"everton","2014-15","premier league","33","0","2","0","0","0","9","0","-","-","44","0"
"everton","2015-16","premier league","33","0","2","0","4","0","-","-","39","0","none","none"
"everton","2016-17","premier league","33","2","1","0","0","0","-","-","34","2","none","none"
"everton","2017-18","premier league","0","0","0","0","0","0","1","0","-","-","1","0"
"everton","total","total","131","5","9","0","5","0","10","0","-","-","155","5"
"west bromwich albion","2017-18","premier league","25","1","3","0","1","0","-","-","29","1","none","none"
"west bromwich albion","2018-19","championship","15","1","0","0","2","0","-","-","17","1","none","none"
"career total","career total","career total","668","54","48","4","46","5","54","4","1","0","817","67"
