"season","team","games","games","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"season","team","gp","gs","rec","yds","avg","lng","td","att","yds","avg","lng","td","fum","lost"
"2009","pittsburgh steelers","16","4","39","756","19.4","60t","6","5","48","9.6","21","0","1","1"
"2010","pittsburgh steelers","16","16","60","1,257","21.0","56t","10","5","39","7.8","19","0","1","0"
"2011","pittsburgh steelers","16","14","72","1,193","16.6","95t","8","5","57","11.4","21","0","1","1"
"2012","pittsburgh steelers","15","14","64","836","13.1","82t","8","5","7","1.4","13","0","2","1"
"2013","miami dolphins","16","16","73","930","12.7","57","5","3","33","11.0","13","0","0","0"
"2014","miami dolphins","16","16","67","862","12.9","50","10","4","16","4.0","12","0","2","1"
"2015","minnesota vikings","16","15","39","473","12.1","34","2","1","6","6.0","6","0","0","0"
"2016","baltimore ravens","16","16","72","1,017","14.1","95t","4","5","31","6.2","13","0","1","0"
"2017","baltimore ravens","15","15","52","748","14.4","66","4","1","4","4","4","0","0","0"
"career","career","142","123","538","8,072","15.0","95t","57","34","241","7.1","21","0","8","4"
