"","agricultural region 1","agricultural region 1","agricultural region 3","agricultural region 3","agricultural region 4","agricultural region 4","total new brunswick","total new brunswick"
"","number","percent","number","percent","number","percent","number","percent"
"operators living on or off the farm","","","","","","","",""
"off the farm","275","22.9","130","16.4","180","35.3","740","21.3"
"on the farm","925","77.1","670","84.3","330","64.7","2,725","78.5"
"farm work, by average number of hours per week","","","","","","","",""
"less than 20 hours","370","30.8","295","37.1","225","44.1","1,240","35.7"
"between 20 and 29 hours","155","12.9","100","12.6","60","11.8","475","13.7"
"between 30 and 40 hours","165","13.8","120","15.1","60","11.8","470","13.5"
"40 hours and more","510","42.5","275","34.6","165","32.4","1,295","37.3"
"non-farm paid work, by average number of hours per week","","","","","","","",""
"operators reporting no paid non-farm work","715","59.6","410","51.6","270","52.9","1,925","55.5"
"operators reporting less than 20 hours","80","6.7","60","7.5","35","6.9","245","7.1"
"operators reporting between 20 and 29 hours","55","4.6","45","5.7","25","4.9","165","4.8"
"operators reporting between 30 and 40 hours","145","12.1","130","16.4","65","12.7","485","14.0"
"operators reporting more than 40 hours","205","17.1","165","20.8","125","24.5","655","18.9"
