"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","album"
"year","single","us","us main","can","can ac","can country","nz","ned","bel","ger","swe","ire","uk","album"
"1981","fightin' on the same side","-","-","-","-","-","-","-","-","-","-","-","-","amore"
"1982","all you zombies","-","-","-","-","-","-","-","-","-","-","-","-","amore"
"1984","hanging on a heartbeat","-","-","-","-","-","-","-","-","-","-","-","-","amore"
"1985","all you zombies","58","11","-","-","-","16","-","-","17","-","-","-","nervous night"
"1985","and we danced","21","3","51","-","-","9","-","-","72","-","-","-","nervous night"
"1986","day by day","18","3","66","-","-","-","-","-","-","-","-","-","nervous night"
"1986","where do the children go","38","34","98","-","-","20","-","-","-","-","-","-","nervous night"
"1987","johnny b","61","3","-","-","-","-","-","-","7","-","-","-","one way home"
"1987","satellite","61","13","-","-","-","-","20","35","34","-","17","22","one way home"
"1988","karla with a k","-","-","-","-","-","-","-","-","-","-","-","81","one way home"
"1988","engine 999","-","-","-","-","-","-","-","-","-","-","-","-","one way home"
"1989","500 miles","97","20","60","19","81","-","-","-","-","12","-","-","zig zag"
"1990","brother, don't you walk away","-","37","-","-","-","-","-","-","-","-","-","-","zig zag"
"1990","heaven laughs","-","-","-","-","-","-","-","-","-","-","-","-","zig zag"
"1990","don't knock it 'til you try it","-","-","-","-","-","-","-","-","-","-","-","-","zig zag"
"1990","give the music back","-","-","-","-","-","-","-","-","-","-","-","-","zig zag"
"1990","silent night","-","-","-","-","-","-","-","-","-","-","-","-","acoustic christmas"
"1993","twenty five hours a day","-","-","-","-","-","-","28","-","74","-","-","-","out of body"
"1993","boys will be boys","-","-","-","-","-","-","-","-","53","20","-","-","out of body"
"1994","private emotion","-","-","-","-","-","-","-","-","-","-","-","-","out of body"
"1995","satellite '95","-","-","-","-","-","-","-","-","-","-","-","-","single only"
"2008","time stand still","-","-","-","-","-","-","-","-","-","-","-","-","time stand still"
"2010","five by five ep","-","-","-","-","-","-","-","-","-","-","-","-","ep"
""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart"
