"season","club","division","league","league","fa cup","fa cup","league cup","league cup","europe","europe","total","total"
"season","club","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"1981-82","chelsea","second division","3","0","0","0","0","0","0","0","3","0"
"1982-83","chelsea","second division","19","3","0","0","2","0","0","0","21","3"
"1983-84","chelsea","second division","20","6","1","0","4","1","0","0","25","7"
"1984-85","chelsea","first division","24","1","2","1","9","2","0","0","35","4"
"1985-86","chelsea","first division","13","1","2","0","3","0","1","0","19","1"
"total","total","total","79","11","5","1","18","3","1","0","103","15"
"1986-87","reading","second division","9","3","0","0","4","0","0","0","13","3"
"1987-88","reading","second division","7","1","0","0","1","0","0","0","8","1"
"total","total","total","16","4","0","0","5","0","0","0","21","4"
"total","total","total","95","15","5","1","23","3","1","0","124","19"
