"club","season","league","league","league","dfb-pokal","dfb-pokal","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"hansa rostock","2012-13","3. liga","8","0","0","0","-","-","8","0"
"neustrelitz","2013-14","regionalliga nordost","9","1","0","0","2","0","11","1"
"neustrelitz","2014-15","regionalliga nordost","25","5","-","-","25","5","none","none"
"neustrelitz","2015-16","regionalliga nordost","19","7","-","-","19","7","none","none"
"neustrelitz","total","total","53","13","0","0","2","0","55","13"
"steinbach","2015-16","regionalliga sudwest","14","2","-","-","14","2","none","none"
"steinbach","2016-17","regionalliga sudwest","33","16","-","-","33","16","none","none"
"steinbach","total","total","47","18","0","0","0","0","47","18"
"jahn regensburg","2017-18","2. bundesliga","33","5","2","0","-","-","35","5"
"jahn regensburg","2018-19","2. bundesliga","30","12","1","0","-","-","31","12"
"jahn regensburg","total","total","63","17","3","0","-","-","66","17"
"career total","career total","career total","171","48","3","0","2","0","176","48"
