"length of gap in years","distribution","distribution"
"length of gap in years","number","percent"
"1","972,655","40.0"
"2","360,670","14.8"
"3","204,310","8.4"
"4","145,625","6.0"
"5","125,000","5.1"
"6","111,065","4.6"
"7","74,300","3.1"
"8","44,515","1.8"
"9","42,860","1.8"
"10","39,975","1.6"
"11","34,040","1.4"
"12","35,225","1.4"
"13","33,810","1.4"
"14","32,710","1.3"
"15","32,600","1.3"
"16","31,335","1.3"
"17","29,220","1.2"
"18","27,670","1.1"
"19","26,265","1.1"
"20","19,780","0.8"
"21","7,815","0.3"
"22","220","0.0"
"23","115","0.0"
"24","75","0.0"
"25","80","0.0"
"26","50","0.0"
"27","25","0.0"
"total","2,431,995","100.0"
