"","percentage of population aged 17 to 64 employed full time as","percentage of population aged 17 to 64 employed full time as","percentage of population aged 25 to 54 employed full time as","percentage of population aged 25 to 54 employed full time as"
"","employees","employees or self-employed","employees","employees or self-employed"
"","percent","percent","percent","percent"
"both sexes","","","",""
"1976","55.1","62.1","55.7","64.0"
"1981","56.3","63.6","57.7","66.6"
"1989","56.8","65.4","60.6","70.4"
"1992","52.3","61.0","57.0","66.8"
"1995","52.6","61.7","57.7","67.9"
"1997","52.2","62.1","57.2","68.3"
"2007","57.6","67.6","63.3","74.3"
"2014","56.8","65.8","63.4","73.1"
"men","","","",""
"1976","72.8","84.4","76.2","89.8"
"1981","71.0","82.9","74.2","88.5"
"1989","67.1","80.2","71.4","86.2"
"1992","59.9","73.0","65.2","79.8"
"1995","60.6","74.0","66.1","80.9"
"1997","60.1","74.6","65.3","81.3"
"2007","62.8","76.9","68.4","83.8"
"2014","61.6","74.2","68.4","82.0"
"women","","","",""
"1976","37.7","40.2","35.2","38.0"
"1981","41.7","44.4","41.0","44.5"
"1989","46.6","50.6","49.7","54.6"
"1992","44.7","49.0","48.9","53.8"
"1997","44.2","49.6","49.2","55.4"
"2007","52.4","58.2","58.2","64.7"
"2014","52.0","57.4","58.4","64.2"
