"","percentage of men employed full time as","percentage of men employed full time as","percentage of women employed full time as","percentage of women employed full time as"
"","employees","employees or self-employed","employees","employees or self-employed"
"","percent","percent","percent","percent"
"population aged 17 to 24","","","",""
"1976","73.0","76.8","57.2","58.7"
"1997","58.7","62.3","43.7","45.6"
"2007","64.8","67.6","53.6","54.9"
"2014","56.8","59.1","47.1","48.0"
"1976 to 2014","-16.2","-17.7","-10.2","-10.7"
"population aged 25 to 29","","","",""
"1976","81.2","89.1","42.5","44.3"
"1997","70.5","79.4","55.6","59.1"
"2007","74.1","82.8","64.7","68.3"
"2014","71.2","78.8","61.4","64.9"
"1976 to 2014","-10.1","-10.2","18.9","20.6"
"population aged 30 to 54","","","",""
"1976","74.7","90.0","33.0","36.1"
"1997","64.4","81.6","48.1","54.7"
"2007","67.5","84.0","57.1","64.1"
"2014","67.9","82.6","57.8","64.1"
"1976 to 2014","-6.8","-7.5","24.8","28.0"
"population aged 55 to 64","","","",""
"1976","56.8","70.2","20.3","22.8"
"1997","34.3","49.6","18.9","23.1"
"2007","40.8","56.9","30.8","36.3"
"2014","43.1","58.3","34.8","40.8"
"1976 to 2014","-13.6","-11.9","14.5","18.1"
