"sociodemographic characteristics, smoking status, obesity","no physical condition","any physical condition","odds ratio","95% confidence interval","95% confidence interval"
"sociodemographic characteristics, smoking status, obesity","%","%","odds ratio","from","to"
"sex","","","","",""
"men","54.2","45.0","1.0","..",".."
"women","45.8","55.0","1.4","1.3","1.6"
"age group","","","","",""
"18 to 34","43.0","16.0","1.0","..",".."
"35 to 49","30.9","23.3","2.0","1.8","2.3"
"50 to 64","20.5","32.3","4.2","3.7","4.8"
"65 or older","5.6","28.4","13.7","11.8","15.9"
"education","","","","",""
"less than secondary school graduation","10.0","18.7","1.0","..",".."
"secondary school graduation","16.7","16.1","0.5","0.4","0.6"
"some postsecondary","7.7","6.1","0.4","0.3","0.5"
"postsecondary certificate/diploma","37.7","38.7","0.6","0.5","0.6"
"university degree","28.0","20.4","0.4","0.3","0.5"
"household income","","","","",""
"$29,999 or less","12.8","20.5","1.0","..",".."
"$30,000 to $49,999","16.0","20.3","0.8","0.7","0.9"
"$50,000 to $79,9999","24.2","25.4","0.7","0.6","0.8"
"$80,0000 or more","47.0","33.8","0.4","0.4","0.5"
"marital status","","","","",""
"married/common-law","59.7","66.0","1.0","..",".."
"never married","31.9","16.3","0.5","0.4","0.5"
"separated/divorced/widowed","8.4","17.8","1.9","1.6","2.2"
"visible minority","","","","",""
"no","71.1","82.1","1.0","..",".."
"yes","28.9","17.9","0.5","0.5","0.6"
"country of birth","","","","",""
"canada","70.2","76.0","1.0","..",".."
"other","29.9","24.0","0.7","0.7","0.8"
"smoking status","","","","",""
"non-smoker","43.3","33.8","1.0","..",".."
"former occasional smoker","17.1","15.3","1.1","1.0","1.3"
"former daily smoker","17.2","30.1","2.2","2.0","2.5"
"current occasional smoker","7.4","4.0","0.7","0.6","0.9"
"current daily smoker","15.0","17.0","1.4","1.3","1.6"
"obesity","","","","",""
"body mass index less than 30","86.7","76.1","1.0","..",".."
"body mass index 30 or more","13.3","23.9","2.0","1.8","2.3"
