"year","single","peak positions","peak positions","peak positions","peak positions","peak positions","peak positions","peak positions","peak positions","peak positions","peak positions","peak positions","album"
"year","single","uk","ire","ned","bel","ger","aut","swi","ita","swe","nz","us","album"
"1986","misfit","76","-","-","-","-","-","-","-","-","-","-","keep your distance"
"1986","down to earth","3","5","12","24","32","-","-","-","-","13","-","keep your distance"
"1987","ordinary day","11","13","-","-","-","-","24","17","-","42","-","keep your distance"
"1987","misfit","7","8","35","-","53","-","-","13","-","-","42","keep your distance"
"1987","free","56","26","-","-","-","-","-","-","-","-","-","keep your distance"
"1989","name and number","14","16","24","-","-","-","-","11","-","-","-","getahead"
"1989","first place","86","-","-","-","-","-","-","-","-","-","-","getahead"
"1992","hang on in there baby","3","10","-","38","42","38","-","25","31","32","-","back to front"
"1992","i need your lovin'","47","-","-","-","55","-","-","-","-","-","-","back to front"
"1993","work it out","-","-","-","-","-","-","-","-","-","-","-","back to front"
"1993","gimme the sunshine","73","-","-","-","-","-","-","-","-","-","-","back to front"
""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released"
