"club","season","league","league","league","national cup","national cup","league cup","league cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"marsa","2010-11","tunisian ligue professionnelle 1","19","1","none","none","-","-","16","2","none","none"
"marsa","2011-12","tunisian ligue professionnelle 1","20","2","none","none","-","-","16","2","none","none"
"marsa","2012-13","tunisian ligue professionnelle 1","3","0","none","none","-","-","16","2","none","none"
"marsa","2013-14","tunisian ligue professionnelle 1","18","2","none","none","-","-","16","2","none","none"
"marsa","total","total","60","5","none","none","none","none","none","none","60","5"
"etoile du sahel","2014-15","clp-1","16","2","none","none","-","-","none","none","16","2"
"petrolul ploiesti","2015-16","liga i","17","3","1","0","1","0","-","-","19","3"
"tromsø","2016","tippeligaen","20","5","4","2","-","-","24","7","none","none"
"lokomotiv go","2016-17","first professional football league","12","2","0","0","-","-","12","2","none","none"
"dundee","2017-18","scottish premiership","26","7","3","1","4","5","-","-","33","13"
"dundee","2018-19","scottish premiership","8","0","0","0","4","2","-","-","12","2"
"dundee","total","total","34","7","3","1","8","7","0","0","46","15"
"career total","career total","career total","159","24","8","3","9","7","0","0","176","35"
