"mbm geography","mbm geography","current dollars","current dollars","current dollars","current dollars"
"mbm geography","mbm geography","2008-base","2018-base","difference","difference"
"mbm geography","mbm geography","dollars","dollars","dollars","percent"
"province","region","","","",""
"newfoundland and labrador","rural","39,802","42,539","2,737","6.9"
"newfoundland and labrador","< 30,000","40,375","42,926","2,551","6.3"
"newfoundland and labrador","30,000 to 99,999","..","44,167","..",".."
"newfoundland and labrador","st. john's","38,536","44,808","6,272","16.3"
"prince edward island","rural","38,338","41,520","3,183","8.3"
"prince edward island","< 30,000","39,184","42,283","3,099","7.9"
"prince edward island","charlottetown","37,591","43,205","5,614","14.9"
"nova scotia","rural","38,741","41,588","2,847","7.3"
"nova scotia","< 30,000","38,927","42,494","3,567","9.2"
"nova scotia","30,000 to 99,999","36,607","42,800","6,193","16.9"
"nova scotia","halifax","37,816","45,197","7,381","19.5"
"nova scotia","cape breton","35,524","41,533","6,009","16.9"
"new brunswick","rural","38,713","40,766","2,053","5.3"
"new brunswick","< 30,000","39,297","42,284","2,987","7.6"
"new brunswick","30,000 to 99,999","38,707","42,058","3,351","8.7"
"new brunswick","fredericton","39,675","43,906","4,231","10.7"
"new brunswick","saint john","37,302","41,700","4,397","11.8"
"new brunswick","moncton","36,212","42,026","5,814","16.1"
"quebec","rural","35,096","37,804","2,708","7.7"
"quebec","< 30,000","35,186","37,397","2,211","6.3"
"quebec","30,000 to 99,999","33,115","37,442","4,326","13.1"
"quebec","100,000 to 499,999","34,163","37,940","3,777","11.1"
"quebec","quebec","34,835","39,601","4,765","13.7"
"quebec","montreal","35,640","40,160","4,520","12.7"
"ontario","rural","38,057","40,576","2,519","6.6"
"ontario","< 30,000","37,847","41,250","3,403","9.0"
"ontario","30,000 to 99,999","34,932","40,769","5,838","16.7"
"ontario","100,000 to 499,999","37,800","42,933","5,133","13.6"
"ontario","500,000","..","44,851","..",".."
"ontario","ottawa","41,546","47,233","5,688","13.7"
"ontario","hamilton/burlington","38,337","43,517","5,180","13.5"
"ontario","toronto","42,101","48,142","6,041","14.3"
"manitoba","rural","36,091","38,954","2,863","7.9"
"manitoba","< 30,000","37,528","40,780","3,252","8.7"
"manitoba","30,000 to 99,999","..","40,842","..",".."
"manitoba","brandon","35,121","40,404","5,284","15.0"
"manitoba","winnipeg","37,510","44,030","6,521","17.4"
"saskatchewan","rural","37,533","40,280","2,747","7.3"
"saskatchewan","< 30,000","38,634","42,003","3,369","8.7"
"saskatchewan","30,000 to 99,999","35,791","42,208","6,418","17.9"
"saskatchewan","saskatoon","37,849","45,652","7,803","20.6"
"saskatchewan","regina","37,873","44,833","6,959","18.4"
"alberta","rural","40,183","45,047","4,864","12.1"
"alberta","< 30,000","41,598","46,158","4,560","11.0"
"alberta","30,000 to 99,999","40,371","44,874","4,504","11.2"
"alberta","100,000 to 499,999","38,630","45,468","6,838","17.7"
"alberta","edmonton","38,584","47,869","9,285","24.1"
"alberta","calgary","40,452","48,349","7,897","19.5"
"british columbia","rural","38,527","41,463","2,936","7.6"
"british columbia","< 30,000","38,543","42,608","4,065","10.5"
"british columbia","30,000 to 99,999","35,795","42,829","7,034","19.6"
"british columbia","100,000 to 499,999","39,846","47,111","7,266","18.2"
"british columbia","vancouver","40,644","48,677","8,033","19.8"
